pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7,pr1_8,pr1_9,pr1_10,pr1_11,pr1_12,pr1_13,pr1_14,pr1_15,pr1_16,pr1_17,pr1_18,pr1_19,pr1_20,pr1_21,pr1_22,pr1_23,pr1_24,pr1_25,pr1_26,pr1_27,pr1_28,pr1_29,pr1_30,pr1_31,pr1_32,pr1_33,pr1_34,pr1_35,pr1_36,pr1_37,pr1_38,pr1_39,pr1_40,pr1_41,pr1_42,pr1_43,pr1_44,pr1_45,pr1_46,pr1_47,pr1_48,pr1_49,pr1_50,pr1_51,pr1_52,pr1_53,pr1_54,pr1_55,pr1_56,pr1_57,pr1_58,pr1_59,pr1_60,pr1_61,pr1_62,pr1_63,pr1_64,pr1_65,pr1_66,pr1_67,pr1_68,pr1_69,pr1_70,pr1_71,pr1_72,pr1_73,pr1_74,pr1_75,pr1_76,pr1_77,pr1_78,pr1_79,pr1_80,pr1_81,pr1_82,pr1_83,pr1_84,pr1_85,pr1_86,pr1_87,pr1_88,pr1_89,pr1_90,pr1_91,pr1_92,pr1_93,pr1_94,pr1_95,pr1_96,pr1_97,pr1_98,pr1_99,pr1_100,pr1_101,pr1_102,pr1_103,pr1_104,pr1_105,pr1_106,pr1_107,pr1_108,pr1_109,pr1_110,pr1_111,pr1_112,pr1_113,pr1_114,pr1_115,pr1_116,pr1_117,pr1_118,pr1_119,pr1_120,pr1_121,pr1_122,pr1_123,pr1_124,pr1_125,pr1_126,pr1_127,pr1_128,pr1_129,pr1_130,pr1_131,pr1_132,pr1_133,pr1_134,pr1_135,pr1_136,pr1_137,pr1_138,pr1_139,pr1_140,pr1_141,pr1_142,pr1_143,pr1_144,pr1_145,pr1_146,pr1_147,pr1_148,pr1_149,pr1_150,pr1_151,pr1_152,pr1_153,pr1_154,pr1_155,pr1_156,pr1_157,pr1_158
23283282.437,NaN,21354397.588,24377052.166,NaN,22215076.074,NaN,NaN,24989688.349,NaN,NaN,NaN,NaN,21284996.268,NaN,NaN,20669142.616,NaN,21115391.157,NaN,25605884.487,23768013.094,NaN,NaN,NaN,NaN,NaN,20850036.45,NaN,NaN,NaN,NaN,NaN,NaN,21369101.957,20800854.719,23558436.001,NaN,NaN,NaN,21296990.577,22237240.638,NaN,NaN,NaN,NaN,NaN,23316923.947,NaN,21898135.828,20273678.007,22450967.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26692939.07,NaN,NaN,NaN,NaN,NaN,NaN,22064226.824,23435405.929,NaN,NaN,NaN,NaN,NaN,NaN,26512141.137,NaN,NaN,NaN,NaN,25804422.297,24785728.697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26862002.546,37580843.94,38582117.524,37447718.553,38049775.829,NaN,NaN,36284695.442,36803058.439,NaN,36172599.158,NaN,NaN,37524782.339,NaN,NaN,NaN,NaN,NaN,22453943.04,24061819.566,NaN,25587171.446,NaN,26013710.48,NaN,24530957.889,NaN,NaN,22924106.16,NaN,NaN,NaN,NaN,NaN,22155633.939,NaN,NaN,36644511.383,NaN,35854546.364,NaN,NaN,NaN,NaN,25842748.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083091.693,26526492.902,NaN,37438764.372,38854605.715,NaN,NaN,NaN
23283842.56,NaN,21354726.642,24376610.098,NaN,22214716.715,NaN,NaN,24989141.095,NaN,NaN,NaN,NaN,21285450.45,NaN,NaN,20668988.765,NaN,21114999.219,NaN,25606340.593,23768600.373,NaN,NaN,NaN,NaN,NaN,20850192.383,NaN,NaN,NaN,NaN,NaN,NaN,21369306.415,20800356.791,23557611.969,NaN,NaN,NaN,21297393.624,22237031.456,NaN,NaN,NaN,NaN,NaN,23317688.15,NaN,21898499.481,20273689.004,22450553.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26692471.7,NaN,NaN,NaN,NaN,NaN,NaN,22064161.266,23435681.558,NaN,NaN,NaN,NaN,NaN,NaN,26512061.511,NaN,NaN,NaN,NaN,25804946.173,24785802.264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26861675.074,37580843.948,38582109.987,37447711.381,38049776.177,NaN,NaN,36284870.57,36803068.614,NaN,36172667.882,NaN,NaN,37524736.878,NaN,NaN,NaN,NaN,NaN,22453619.404,24062051.907,NaN,25586521.31,NaN,26013638.013,NaN,24531294.74,NaN,NaN,22924372.509,NaN,NaN,NaN,NaN,NaN,22155481.371,NaN,NaN,36644486.456,NaN,35854640.871,NaN,NaN,NaN,NaN,25843301.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083277.596,26526160.321,NaN,37438765.575,38854604.256,NaN,NaN,NaN
23284402.64,NaN,21355055.767,24376168.043,NaN,22214357.366,NaN,NaN,24988593.804,NaN,NaN,NaN,NaN,21285904.694,NaN,NaN,20668834.929,NaN,21114607.289,NaN,25606796.647,23769187.664,NaN,NaN,NaN,NaN,NaN,20850348.402,NaN,NaN,NaN,NaN,NaN,NaN,21369510.999,20799858.955,23556787.884,NaN,NaN,NaN,21297796.765,22236822.371,NaN,NaN,NaN,NaN,NaN,23318452.342,NaN,21898863.112,20273700,22450139.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26692004.315,NaN,NaN,NaN,NaN,NaN,NaN,22064095.691,23435957.158,NaN,NaN,NaN,NaN,NaN,NaN,26511981.914,NaN,NaN,NaN,NaN,25805470.049,24785875.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26861347.579,37580843.912,38582102.406,37447704.178,38049776.489,NaN,NaN,36285045.694,36803078.759,NaN,36172736.592,NaN,NaN,37524691.391,NaN,NaN,NaN,NaN,NaN,22453295.818,24062284.314,NaN,25585871.152,NaN,26013565.57,NaN,24531631.632,NaN,NaN,22924638.853,NaN,NaN,NaN,NaN,NaN,22155328.801,NaN,NaN,36644461.495,NaN,35854735.377,NaN,NaN,NaN,NaN,25843854.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083463.49,26525827.723,NaN,37438766.746,38854602.752,NaN,NaN,NaN
23284962.749,NaN,21355385.036,24375726.051,NaN,22213998.104,NaN,NaN,24988046.532,NaN,NaN,NaN,NaN,21286359.064,NaN,NaN,20668681.184,NaN,21114215.445,NaN,25607252.716,23769775.031,NaN,NaN,NaN,NaN,NaN,20850504.567,NaN,NaN,NaN,NaN,NaN,NaN,21369715.768,20799361.26,23555963.844,NaN,NaN,NaN,21298200.067,22236613.499,NaN,NaN,NaN,NaN,NaN,23319216.582,NaN,21899226.786,20273711.048,22449725.326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26691536.999,NaN,NaN,NaN,NaN,NaN,NaN,22064030.176,23436232.803,NaN,NaN,NaN,NaN,NaN,NaN,26511902.461,NaN,NaN,NaN,NaN,25805994.006,24785949.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26861020.137,37580843.902,38582094.866,37447697.013,38049776.832,NaN,NaN,36285220.886,36803088.956,NaN,36172805.38,NaN,NaN,37524645.952,NaN,NaN,NaN,NaN,NaN,22452972.358,24062516.86,NaN,25585221.015,NaN,26013493.283,NaN,24531968.622,NaN,NaN,22924905.276,NaN,NaN,NaN,NaN,NaN,22155176.298,NaN,NaN,36644436.586,NaN,35854829.937,NaN,NaN,NaN,NaN,25844408.118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083649.459,26525495.176,NaN,37438767.947,38854601.281,NaN,NaN,NaN
23285522.824,NaN,21355714.378,24375284.023,NaN,22213638.84,NaN,NaN,24987499.186,NaN,NaN,NaN,NaN,21286813.492,NaN,NaN,20668527.445,NaN,21113823.611,NaN,25607708.709,23770362.418,NaN,NaN,NaN,NaN,NaN,20850660.808,NaN,NaN,NaN,NaN,NaN,NaN,21369920.668,20798863.648,23555139.768,NaN,NaN,NaN,21298603.446,22236404.733,NaN,NaN,NaN,NaN,NaN,23319980.791,NaN,21899590.45,20273722.088,22449311.279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26691069.658,NaN,NaN,NaN,NaN,NaN,NaN,22063964.642,23436508.41,NaN,NaN,NaN,NaN,NaN,NaN,26511823.051,NaN,NaN,NaN,NaN,25806517.952,24786023.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26860692.667,37580843.864,38582087.311,37447689.802,38049777.144,NaN,NaN,36285396.056,36803099.129,NaN,36172874.146,NaN,NaN,37524600.487,NaN,NaN,NaN,NaN,NaN,22452648.946,24062749.467,NaN,25584570.856,NaN,26013421.039,NaN,24532305.641,NaN,NaN,22925171.695,NaN,NaN,NaN,NaN,NaN,22155023.791,NaN,NaN,36644411.651,NaN,35854924.5,NaN,NaN,NaN,NaN,25844961.383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083835.422,26525162.606,NaN,37438769.114,38854599.787,NaN,NaN,NaN
23286082.917,NaN,21356043.846,24374842.091,NaN,22213279.652,NaN,NaN,24986951.857,NaN,NaN,NaN,NaN,21287268.029,NaN,NaN,20668373.788,NaN,21113431.836,NaN,25608164.706,23770949.866,NaN,NaN,NaN,NaN,NaN,20850817.176,NaN,NaN,NaN,NaN,NaN,NaN,21370125.747,20798366.181,23554315.687,NaN,NaN,NaN,21299006.978,22236196.129,NaN,NaN,NaN,NaN,NaN,23320745.016,NaN,21899954.147,20273733.168,22448897.242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26690602.365,NaN,NaN,NaN,NaN,NaN,NaN,22063899.155,23436784.046,NaN,NaN,NaN,NaN,NaN,NaN,26511743.738,NaN,NaN,NaN,NaN,25807041.958,24786097.351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26860365.239,37580843.845,38582079.745,37447682.608,38049777.471,NaN,NaN,36285571.271,36803109.314,NaN,36172942.961,NaN,NaN,37524555.049,NaN,NaN,NaN,NaN,NaN,22452325.647,24062982.186,NaN,25583920.727,NaN,26013348.899,NaN,24532642.741,NaN,NaN,22925438.165,NaN,NaN,NaN,NaN,NaN,22154871.34,NaN,NaN,36644386.744,NaN,35855019.108,NaN,NaN,NaN,NaN,25845514.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084021.435,26524830.076,NaN,37438770.297,38854598.307,NaN,NaN,NaN
23286642.988,NaN,21356373.381,24374400.168,NaN,22212920.468,NaN,NaN,24986404.455,NaN,NaN,NaN,NaN,21287722.62,NaN,NaN,20668220.133,NaN,21113040.061,NaN,25608620.637,23771537.313,NaN,NaN,NaN,NaN,NaN,20850973.62,NaN,NaN,NaN,NaN,NaN,NaN,21370330.944,20797868.8,23553491.57,NaN,NaN,NaN,21299410.592,22235987.653,NaN,NaN,NaN,NaN,NaN,23321509.159,NaN,21900317.82,20273744.23,22448483.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26690135.061,NaN,NaN,NaN,NaN,NaN,NaN,22063833.645,23437059.646,NaN,NaN,NaN,NaN,NaN,NaN,26511664.467,NaN,NaN,NaN,NaN,25807565.96,24786171.316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26860037.772,37580843.776,38582072.152,37447675.374,38049777.739,NaN,NaN,36285746.482,36803119.475,NaN,36173011.763,NaN,NaN,37524509.589,NaN,NaN,NaN,NaN,NaN,22452002.396,24063214.966,NaN,25583270.57,NaN,26013276.851,NaN,24532979.867,NaN,NaN,22925704.628,NaN,NaN,NaN,NaN,NaN,22154718.874,NaN,NaN,36644361.812,NaN,35855113.714,NaN,NaN,NaN,NaN,25846067.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084207.428,26524497.524,NaN,37438771.439,38854596.781,NaN,NaN,NaN
23287203.011,NaN,21356703.007,24373958.231,NaN,22212561.309,NaN,NaN,24985857.042,NaN,NaN,NaN,NaN,21288177.289,NaN,NaN,20668066.515,NaN,21112648.316,NaN,25609076.553,23772124.793,NaN,NaN,NaN,NaN,NaN,20851130.148,NaN,NaN,NaN,NaN,NaN,NaN,21370536.286,20797371.519,23552667.426,NaN,NaN,NaN,21299814.319,22235779.301,NaN,NaN,NaN,NaN,NaN,23322273.255,NaN,21900681.496,20273755.326,22448069.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26689667.758,NaN,NaN,NaN,NaN,NaN,NaN,22063768.132,23437335.23,NaN,NaN,NaN,NaN,NaN,NaN,26511585.263,NaN,NaN,NaN,NaN,25808089.971,24786245.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26859710.297,37580843.691,38582064.529,37447668.137,38049778.004,NaN,NaN,36285921.687,36803129.62,NaN,36173080.571,NaN,NaN,37524464.122,NaN,NaN,NaN,NaN,NaN,22451679.213,24063447.826,NaN,25582620.391,NaN,26013204.849,NaN,24533317.027,NaN,NaN,22925971.095,NaN,NaN,NaN,NaN,NaN,22154566.42,NaN,NaN,36644336.866,NaN,35855208.329,NaN,NaN,NaN,NaN,25846621.029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084393.433,26524164.953,NaN,37438772.562,38854595.231,NaN,NaN,NaN
23287763.087,NaN,21357032.771,24373516.358,NaN,22212202.226,NaN,NaN,24985309.632,NaN,NaN,NaN,NaN,21288632.074,NaN,NaN,20667912.983,NaN,21112256.65,NaN,25609532.452,23772712.35,NaN,NaN,NaN,NaN,NaN,20851286.82,NaN,NaN,NaN,NaN,NaN,NaN,21370741.815,20796874.397,23551843.309,NaN,NaN,NaN,21300218.203,22235571.145,NaN,NaN,NaN,NaN,NaN,23323037.457,NaN,21901045.251,20273766.513,22447655.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26689200.513,NaN,NaN,NaN,NaN,NaN,NaN,22063702.675,23437610.86,NaN,NaN,NaN,NaN,NaN,NaN,26511506.176,NaN,NaN,NaN,NaN,25808614.059,24786319.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26859382.875,37580843.644,38582056.942,37447660.911,38049778.296,NaN,NaN,36286096.953,36803139.81,NaN,36173149.447,NaN,NaN,37524418.691,NaN,NaN,NaN,NaN,NaN,22451356.154,24063680.817,NaN,25581970.262,NaN,26013132.98,NaN,24533654.294,NaN,NaN,22926237.63,NaN,NaN,NaN,NaN,NaN,22154414.032,NaN,NaN,36644311.973,NaN,35855303.006,NaN,NaN,NaN,NaN,25847174.213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084579.508,26523832.441,NaN,37438773.717,38854593.733,NaN,NaN,NaN
23288323.175,NaN,21357362.664,24373074.55,NaN,22211843.231,NaN,NaN,24984762.226,NaN,NaN,NaN,NaN,21289086.978,NaN,NaN,20667759.522,NaN,21111865.044,NaN,25609988.37,23773299.967,NaN,NaN,NaN,NaN,NaN,20851443.623,NaN,NaN,NaN,NaN,NaN,NaN,21370947.519,20796377.423,23551019.217,NaN,NaN,NaN,21300622.23,22235363.171,NaN,NaN,NaN,NaN,NaN,23323801.653,NaN,21901409.027,20273777.736,22447241.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26688733.317,NaN,NaN,NaN,NaN,NaN,NaN,22063637.261,23437886.514,NaN,NaN,NaN,NaN,NaN,NaN,26511427.186,NaN,NaN,NaN,NaN,25809138.201,24786393.778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26859055.486,37580843.617,38582049.376,37447653.708,38049778.608,NaN,NaN,36286272.256,36803150.024,NaN,36173218.363,NaN,NaN,37524373.296,NaN,NaN,NaN,NaN,NaN,22451033.204,24063913.93,NaN,25581320.16,NaN,26013061.214,NaN,24533991.639,NaN,NaN,22926504.223,NaN,NaN,NaN,NaN,NaN,22154261.695,NaN,NaN,36644287.099,NaN,35855397.746,NaN,NaN,NaN,NaN,25847727.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084765.625,26523499.965,NaN,37438774.889,38854592.248,NaN,NaN,NaN
