dop1_1,dop1_2,dop1_3,dop1_4,dop1_5,dop1_6,dop1_7,dop1_8,dop1_9,dop1_10,dop1_11,dop1_12,dop1_13,dop1_14,dop1_15,dop1_16,dop1_17,dop1_18,dop1_19,dop1_20,dop1_21,dop1_22,dop1_23,dop1_24,dop1_25,dop1_26,dop1_27,dop1_28,dop1_29,dop1_30,dop1_31,dop1_32,dop1_33,dop1_34,dop1_35,dop1_36,dop1_37,dop1_38,dop1_39,dop1_40,dop1_41,dop1_42,dop1_43,dop1_44,dop1_45,dop1_46,dop1_47,dop1_48,dop1_49,dop1_50,dop1_51,dop1_52,dop1_53,dop1_54,dop1_55,dop1_56,dop1_57,dop1_58,dop1_59,dop1_60,dop1_61,dop1_62,dop1_63,dop1_64,dop1_65,dop1_66,dop1_67,dop1_68,dop1_69,dop1_70,dop1_71,dop1_72,dop1_73,dop1_74,dop1_75,dop1_76,dop1_77,dop1_78,dop1_79,dop1_80,dop1_81,dop1_82,dop1_83,dop1_84,dop1_85,dop1_86,dop1_87,dop1_88,dop1_89,dop1_90,dop1_91,dop1_92,dop1_93,dop1_94,dop1_95,dop1_96,dop1_97,dop1_98,dop1_99,dop1_100,dop1_101,dop1_102,dop1_103,dop1_104,dop1_105,dop1_106,dop1_107,dop1_108,dop1_109,dop1_110,dop1_111,dop1_112,dop1_113,dop1_114,dop1_115,dop1_116,dop1_117,dop1_118,dop1_119,dop1_120,dop1_121,dop1_122,dop1_123,dop1_124,dop1_125,dop1_126,dop1_127,dop1_128,dop1_129,dop1_130,dop1_131,dop1_132,dop1_133,dop1_134,dop1_135,dop1_136,dop1_137,dop1_138,dop1_139,dop1_140,dop1_141,dop1_142,dop1_143,dop1_144,dop1_145,dop1_146,dop1_147,dop1_148,dop1_149,dop1_150,dop1_151,dop1_152,dop1_153,dop1_154,dop1_155,dop1_156,dop1_157,dop1_158
-2942.948,NaN,-1728.453,2323.739,NaN,1888.907,NaN,NaN,2876.338,NaN,NaN,NaN,NaN,-2386.089,NaN,NaN,809.073,NaN,2060.043,NaN,-2396.7,-3085.731,NaN,NaN,NaN,NaN,NaN,-818.854,NaN,NaN,NaN,NaN,NaN,NaN,-1093.685,2667.023,4405.181,NaN,NaN,NaN,-2151.448,1116.056,NaN,NaN,NaN,NaN,NaN,-4081.938,NaN,-1940.559,-58.098,2214.583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1975.805,NaN,2456.558,NaN,NaN,NaN,NaN,NaN,NaN,345.135,-1448.037,NaN,NaN,NaN,NaN,NaN,NaN,419.07,NaN,NaN,NaN,NaN,-2752.349,-385.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1721.376,0.335,NaN,37.806,-1.524,NaN,NaN,-911.521,-52.546,NaN,-357.341,NaN,NaN,237.048,NaN,NaN,NaN,NaN,NaN,1685.995,-1209.269,NaN,3385.752,NaN,NaN,NaN,-1753.545,NaN,NaN,-1386.487,NaN,NaN,NaN,NaN,NaN,794.905,NaN,NaN,130.299,NaN,-491.772,NaN,NaN,NaN,2318.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-967.596,1732.404,NaN,-5.986,7.901,NaN,NaN,NaN
-2943.283,NaN,-1729.2,2323.347,NaN,1888.528,NaN,NaN,2876.317,NaN,NaN,NaN,NaN,-2386.811,NaN,NaN,808.71,NaN,2059.768,NaN,-2396.589,-3085.993,NaN,NaN,NaN,NaN,NaN,-819.474,NaN,NaN,NaN,NaN,NaN,NaN,-1094.526,2666.49,4405.168,NaN,NaN,NaN,-2152.266,1115.042,NaN,NaN,NaN,NaN,NaN,-4082.154,NaN,-1940.879,-58.667,2214.359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1976.141,NaN,2456.374,NaN,NaN,NaN,NaN,NaN,NaN,344.582,-1448.185,NaN,NaN,NaN,NaN,NaN,NaN,418.547,NaN,NaN,NaN,NaN,-2752.79,-386.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1721.085,0.293,NaN,37.598,-1.381,NaN,NaN,-911.734,-52.635,NaN,-357.78,NaN,NaN,236.899,NaN,NaN,NaN,NaN,NaN,1685.368,-1210.025,NaN,3385.679,NaN,NaN,NaN,-1754.161,NaN,NaN,-1386.677,NaN,NaN,NaN,NaN,NaN,794.556,NaN,NaN,130.09,NaN,-492.009,NaN,NaN,NaN,2318.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-967.824,1732.061,NaN,-6.042,7.964,NaN,NaN,NaN
-2943.039,NaN,-1729.505,2323.162,NaN,1888.479,NaN,NaN,2876.612,NaN,NaN,NaN,NaN,-2387.072,NaN,NaN,808.483,NaN,2059.717,NaN,-2395.886,-3086.005,NaN,NaN,NaN,NaN,NaN,-819.874,NaN,NaN,NaN,NaN,NaN,NaN,-1095.343,2665.94,4405.428,NaN,NaN,NaN,-2152.799,1114.535,NaN,NaN,NaN,NaN,NaN,-4082.006,NaN,-1940.98,-58.594,2214.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1975.449,NaN,2456.472,NaN,NaN,NaN,NaN,NaN,NaN,344.59,-1448.085,NaN,NaN,NaN,NaN,NaN,NaN,418.334,NaN,NaN,NaN,NaN,-2752.722,-386.832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1721.275,0.507,NaN,37.795,-1.171,NaN,NaN,-911.702,-52.614,NaN,-357.599,NaN,NaN,237.199,NaN,NaN,NaN,NaN,NaN,1685.079,-1210.116,NaN,3385.822,NaN,NaN,NaN,-1754.17,NaN,NaN,-1386.771,NaN,NaN,NaN,NaN,NaN,794.598,NaN,NaN,130.247,NaN,-492.003,NaN,NaN,NaN,2318.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-967.836,1732.2,NaN,-5.869,8.186,NaN,NaN,NaN
-2943.116,NaN,-1730.212,2322.896,NaN,1888.159,NaN,NaN,2876.529,NaN,NaN,NaN,NaN,-2387.654,NaN,NaN,808.251,NaN,2059.414,NaN,-2395.934,-3086.101,NaN,NaN,NaN,NaN,NaN,-820.454,NaN,NaN,NaN,NaN,NaN,NaN,-1096.215,2665.404,4405.318,NaN,NaN,NaN,-2153.49,1113.677,NaN,NaN,NaN,NaN,NaN,-4082.024,NaN,-1941.1,-58.812,2214.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1975.03,NaN,2456.182,NaN,NaN,NaN,NaN,NaN,NaN,344.419,-1448.16,NaN,NaN,NaN,NaN,NaN,NaN,417.595,NaN,NaN,NaN,NaN,-2753.083,-387.369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.932,0.435,NaN,37.591,-1.038,NaN,NaN,-911.821,-52.759,NaN,-357.869,NaN,NaN,237.179,NaN,NaN,NaN,NaN,NaN,1684.541,-1210.792,NaN,3385.688,NaN,NaN,NaN,-1754.483,NaN,NaN,-1386.972,NaN,NaN,NaN,NaN,NaN,794.387,NaN,NaN,130.188,NaN,-492.126,NaN,NaN,NaN,2318.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.159,1732.095,NaN,-5.853,8.086,NaN,NaN,NaN
-2943.146,NaN,-1730.957,2322.871,NaN,1887.753,NaN,NaN,2876.509,NaN,NaN,NaN,NaN,-2388.19,NaN,NaN,807.868,NaN,2059.123,NaN,-2396.144,-3086.83,NaN,NaN,NaN,NaN,NaN,-821.137,NaN,NaN,NaN,NaN,NaN,NaN,-1097.135,2664.514,4405.259,NaN,NaN,NaN,-2154.308,1112.61,NaN,NaN,NaN,NaN,NaN,-4082.095,NaN,-1941.248,-58.942,2214.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1974.677,NaN,2455.874,NaN,NaN,NaN,NaN,NaN,NaN,344.457,-1448.431,NaN,NaN,NaN,NaN,NaN,NaN,417.116,NaN,NaN,NaN,NaN,-2753.379,-388.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.874,0.28,NaN,37.642,-1.427,NaN,NaN,-912.038,-52.735,NaN,-358.115,NaN,NaN,236.813,NaN,NaN,NaN,NaN,NaN,1683.99,-1211.396,NaN,3385.508,NaN,NaN,NaN,-1754.987,NaN,NaN,-1387.148,NaN,NaN,NaN,NaN,NaN,794.111,NaN,NaN,129.848,NaN,-492.332,NaN,NaN,NaN,2318.274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.294,1731.914,NaN,-5.924,8.136,NaN,NaN,NaN
-2943.18,NaN,-1731.417,2322.794,NaN,1887.577,NaN,NaN,2876.646,NaN,NaN,NaN,NaN,-2388.673,NaN,NaN,807.655,NaN,2058.957,NaN,-2396.066,-3086.991,NaN,NaN,NaN,NaN,NaN,-821.698,NaN,NaN,NaN,NaN,NaN,NaN,-1098.045,2663.8,4405.289,NaN,NaN,NaN,-2155.006,1111.88,NaN,NaN,NaN,NaN,NaN,-4082.256,NaN,-1941.227,-59.446,2214.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1974.169,NaN,2455.881,NaN,NaN,NaN,NaN,NaN,NaN,344.286,-1448.223,NaN,NaN,NaN,NaN,NaN,NaN,416.9,NaN,NaN,NaN,NaN,-2753.431,-388.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.678,0.402,NaN,37.582,-1.399,NaN,NaN,-912.237,-52.747,NaN,-358.315,NaN,NaN,236.83,NaN,NaN,NaN,NaN,NaN,1683.536,-1211.967,NaN,3385.777,NaN,NaN,NaN,-1755.152,NaN,NaN,-1387.294,NaN,NaN,NaN,NaN,NaN,794.045,NaN,NaN,129.821,NaN,-492.569,NaN,NaN,NaN,2318.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.612,1731.913,NaN,-5.892,7.94,NaN,NaN,NaN
-2942.828,NaN,-1731.88,2322.721,NaN,1887.315,NaN,NaN,2877.043,NaN,NaN,NaN,NaN,-2389.027,NaN,NaN,807.434,NaN,2058.735,NaN,-2395.578,-3086.795,NaN,NaN,NaN,NaN,NaN,-822.245,NaN,NaN,NaN,NaN,NaN,NaN,-1098.697,2663.336,4405.375,NaN,NaN,NaN,-2155.4,1111.194,NaN,NaN,NaN,NaN,NaN,-4081.928,NaN,-1941.253,-59.376,2214.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1974.117,NaN,2455.799,NaN,NaN,NaN,NaN,NaN,NaN,344.187,-1448.207,NaN,NaN,NaN,NaN,NaN,NaN,416.54,NaN,NaN,NaN,NaN,-2753.616,-388.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.981,0.53,NaN,37.774,-1.529,NaN,NaN,-912.322,-52.798,NaN,-358.24,NaN,NaN,236.786,NaN,NaN,NaN,NaN,NaN,1683.281,-1212.207,NaN,3385.563,NaN,NaN,NaN,-1755.585,NaN,NaN,-1387.431,NaN,NaN,NaN,NaN,NaN,794.025,NaN,NaN,129.883,NaN,-492.607,NaN,NaN,NaN,2318.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.471,1731.878,NaN,-5.817,8.09,NaN,NaN,NaN
-2943.309,NaN,-1732.973,2321.927,NaN,1886.802,NaN,NaN,2876.377,NaN,NaN,NaN,NaN,-2389.979,NaN,NaN,806.735,NaN,2058.038,NaN,-2395.31,-3088.084,NaN,NaN,NaN,NaN,NaN,-823.314,NaN,NaN,NaN,NaN,NaN,NaN,-1099.979,2662.288,4405.052,NaN,NaN,NaN,-2156.561,1109.985,NaN,NaN,NaN,NaN,NaN,-4082.428,NaN,-1941.849,-59.957,2213.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1972.918,NaN,2455.418,NaN,NaN,NaN,NaN,NaN,NaN,343.648,-1448.666,NaN,NaN,NaN,NaN,NaN,NaN,415.815,NaN,NaN,NaN,NaN,-2754.291,-389.667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.447,0.073,NaN,37.35,-1.713,NaN,NaN,-912.997,-53.282,NaN,-358.954,NaN,NaN,236.38,NaN,NaN,NaN,NaN,NaN,1682.321,-1213.204,NaN,3385.147,NaN,NaN,NaN,-1756.133,NaN,NaN,-1388.122,NaN,NaN,NaN,NaN,NaN,793.305,NaN,NaN,129.441,NaN,-493.197,NaN,NaN,NaN,2318.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-969.069,1731.25,NaN,-6.187,7.508,NaN,NaN,NaN
-2943.276,NaN,-1733.359,2321.897,NaN,1886.635,NaN,NaN,2876.745,NaN,NaN,NaN,NaN,-2390.391,NaN,NaN,806.662,NaN,2058.064,NaN,-2395.862,-3087.953,NaN,NaN,NaN,NaN,NaN,-823.823,NaN,NaN,NaN,NaN,NaN,NaN,-1100.799,2661.713,4405.242,NaN,NaN,NaN,-2157.164,1109.039,NaN,NaN,NaN,NaN,NaN,-4082.752,NaN,-1941.852,-59.849,2213.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1972.772,NaN,2455.175,NaN,NaN,NaN,NaN,NaN,NaN,343.91,-1448.641,NaN,NaN,NaN,NaN,NaN,NaN,415.33,NaN,NaN,NaN,NaN,-2754.299,-390.028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.443,0.143,NaN,37.454,-1.523,NaN,NaN,-912.849,-53.269,NaN,-358.989,NaN,NaN,236.381,NaN,NaN,NaN,NaN,NaN,1681.808,-1213.577,NaN,3385.169,NaN,NaN,NaN,-1756.531,NaN,NaN,-1388.15,NaN,NaN,NaN,NaN,NaN,793.459,NaN,NaN,129.606,NaN,-493.297,NaN,NaN,NaN,2318.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-969.164,1731.344,NaN,-6.194,7.65,NaN,NaN,NaN
-2943.105,NaN,-1733.741,2321.77,NaN,1886.516,NaN,NaN,2877.045,NaN,NaN,NaN,NaN,-2390.677,NaN,NaN,806.531,NaN,2057.955,NaN,-2395.619,-3087.918,NaN,NaN,NaN,NaN,NaN,-824.091,NaN,NaN,NaN,NaN,NaN,NaN,-1101.412,2661.264,4405.311,NaN,NaN,NaN,-2157.607,1108.491,NaN,NaN,NaN,NaN,NaN,-4082.361,NaN,-1941.809,-59.897,2214.132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1973.147,NaN,2455.26,NaN,NaN,NaN,NaN,NaN,NaN,343.997,-1448.517,NaN,NaN,NaN,NaN,NaN,NaN,415.12,NaN,NaN,NaN,NaN,-2754.286,-390.386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.582,0.477,NaN,37.722,-1.792,NaN,NaN,-912.827,-53.054,NaN,-358.885,NaN,NaN,236.704,NaN,NaN,NaN,NaN,NaN,1681.765,-1213.847,NaN,3385.46,NaN,NaN,NaN,-1756.506,NaN,NaN,-1388.154,NaN,NaN,NaN,NaN,NaN,793.372,NaN,NaN,129.667,NaN,-493.238,NaN,NaN,NaN,2318.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-969.225,1731.481,NaN,-5.957,7.891,NaN,NaN,NaN
