pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575879.7335374,23119327.5750244,22169526.0240999,21218522.2450038,20285876.3663268,23503749.4660333,23952216.5072517
22576236.3087008,23118734.5604844,22170071.5240546,21218755.179021,20285764.2522061,23503101.8882845,23952562.2999911
22576592.2077024,23118138.3751549,22170618.6976702,21218991.7949988,20285649.8538353,23502451.6231948,23952914.3023231
22576949.3285944,23117543.3773574,22171165.3926059,21219226.7625759,20285535.1923267,23501805.7808303,23953262.8685934
22577304.0741957,23116948.1702567,22171710.3828595,21219460.6161464,20285422.2028209,23501155.3730195,23953612.9697252
22577662.9851451,23116354.8752253,22172256.258486,21219696.0336976,20285308.714513,23500506.4808022,23953963.610391
22578019.7769184,23115761.304981,22172803.8109917,21219932.0150275,20285195.6493735,23499860.7453385,23954313.2428086
22578377.0796402,23115165.1827378,22173351.1091679,21220166.5730275,20285081.5201713,23499211.5467327,23954664.1831236
22578733.9325958,23114571.5925225,22173896.1649012,21220400.8745479,20284967.4823233,23498561.6765082,23955013.769965
22579093.1404093,23113978.1229436,22174443.6113168,21220636.2451724,20284855.9573447,23497913.3703632,23955365.2453714
22579450.3049068,23113380.6041291,22174990.644365,21220870.2161523,20284742.8717644,23497265.1115108,23955714.0423641
22579807.7793484,23112787.0952833,22175537.0345531,21221105.1829351,20284627.4839549,23496617.9059383,23956065.9606757
22580163.8774974,23112192.3844744,22176084.2715795,21221341.8128239,20284514.4636027,23495968.3654807,23956415.7059968
22580521.79734,23111596.973132,22176631.2760161,21221577.408415,20284402.0483425,23495318.7063138,23956767.3692883
22580881.567453,23111004.0550202,22177178.2774472,21221811.6903501,20284291.8426566,23494673.2986076,23957117.5349342
22581235.0963365,23110411.9882179,22177723.9957354,21222048.3068926,20284176.5174721,23494026.7584164,23957468.9535344
22581597.0534552,23109815.0669016,22178275.3510584,21222284.2570189,20284065.4719716,23493374.9969903,23957820.2770026
22581952.7295086,23109222.4828298,22178819.3026635,21222517.4428875,20283952.7842585,23492729.168323,23958169.7493723
22582310.3115682,23108628.1439743,22179366.2501889,21222754.1234133,20283840.2563374,23492078.8840658,23958521.2956852
22582670.8485309,23108033.4366478,22179914.4729872,21222990.4397417,20283726.4474079,23491430.4363481,23958875.0282033
22583028.0837789,23107439.2981437,22180462.3532386,21223224.9424594,20283616.7752551,23490782.2051919,23959224.0082539
