carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575878.8726274,23119327.3534534,22169525.3317578,21218521.0161923,20285878.0088286,23503749.7396795,23952214.8417798
22576235.5100141,23118732.625001,22170071.6257003,21218755.8967081,20285763.9652373,23503101.2403104,23952564.3490556
22576592.2131291,23118137.9536178,22170617.9660031,21218990.7810725,20285649.9676107,23502452.803677,23952913.9911005
22576948.9695132,23117543.3332696,22171164.3416202,21219225.7496707,20285536.1224266,23501804.3488268,23953263.7020537
22577305.8711906,23116948.6907155,22171710.7390518,21219460.7020692,20285422.3662747,23501155.921592,23953613.5061635
22577662.8875736,23116354.1657815,22172257.2475307,21219695.7324031,20285308.6525696,23500507.560014,23953963.4382124
22578019.9108359,23115759.6526537,22172803.85758,21219930.775123,20285195.0934012,23499859.1746865,23954313.4665019
22578377.0761059,23115165.1498038,22173350.4521556,21220165.8501028,20285081.6731412,23499210.7976237,23954663.5905804
22578734.3507349,23114570.7250983,22173897.1653727,21220400.9865314,20284968.3090411,23498562.4864558,23955013.8209236
22579091.6524471,23113976.2919908,22174443.9919741,21220636.1904128,20284855.0013754,23497914.1724869,23955364.1447726
22579449.057659,23113381.9143685,22174990.8493849,21220871.3879326,20284741.862789,23497265.8744128,23955714.5820079
22579806.5811597,23112787.5628144,22175537.7638843,21221106.6761916,20284628.7938427,23496617.5770314,23956065.0835788
22580164.110408,23112193.3050486,22176084.729321,21221341.9628616,20284515.8293703,23495969.2904338,23956415.7124917
22580521.798098,23111599.0537107,22176631.8021946,21221577.2980017,20284402.9808246,23495321.0983454,23956766.4520402
22580879.5551145,23111004.8587916,22177178.9311223,21221812.6335872,20284290.2124845,23494672.8896572,23957117.3445695
22581237.4015487,23110410.7002013,22177726.0927226,21222048.0642905,20284177.5140947,23494024.6341279,23957468.2600469
22581595.3323307,23109816.5270319,22178273.4013849,21222283.5320106,20284064.973518,23493376.4791519,23957819.2915262
22581953.3270691,23109222.4500366,22178820.7212909,21222519.0566971,20283952.4773499,23492728.3004765,23958170.4824487
22582311.4262166,23108628.3899509,22179368.1154783,21222754.5806641,20283840.1385963,23492080.1640205,23958521.7173621
22582669.6183604,23108034.3448622,22179915.5676732,21222990.1265097,20283727.9023485,23491432.057887,23958873.0406991
22583027.9028584,23107440.4173471,22180463.1627174,21223225.7719152,20283615.7363644,23490783.9675153,23959224.4869649
22583386.2950634,23106846.4250432,22181010.7276329,21223461.3866114,20283503.6834493,23490135.885655,23959576.0230903
22583744.7297135,23106252.4988098,22181558.3978837,21223697.103062,20283391.6928681,23489487.7978097,23959927.7095782
22584103.2398156,23105658.6654665,22182106.1858034,21223932.8275975,20283279.8722452,23488839.7825501,23960279.4630402
22584461.915442,23105064.8838523,22182653.9507687,21224168.5972605,20283168.144164,23488191.7609851,23960631.3133979
22584820.6003232,23104471.0402539,22183201.8740956,21224404.3878271,20283056.4667066,23487543.7525312,23960983.287104
22585179.4001815,23103877.2904332,22183749.7960431,21224640.2258152,20282944.91671,23486895.7558451,23961335.3311194
22585538.3034931,23103283.5893799,22184297.8340012,21224876.1607657,20282833.5023645,23486247.8008913,23961687.4748963
22585897.23776,23102689.9255613,22184845.9043611,21225112.0599129,20282722.1234862,23485599.8457866,23962039.7600656
22586256.3002251,23102096.3320177,22185394.0335616,21225348.0012512,20282610.8991926,23484951.9365382,23962392.117475
22586615.4286057,23101502.7004803,22185942.2957803,21225584.0556715,20282499.734395,23484304.0175914,23962744.5973028
22586974.6874485,23100909.1600521,22186490.569154,21225820.0976061,20282388.6845273,23483656.1307825,23963097.1686383
22587334.0413037,23100315.6570623,22187038.9349086,21226056.1893239,20282277.7956568,23483008.2475486,23963449.8675503
22587693.4248105,23099722.187374,22187587.3783091,21226292.3162993,20282166.8924048,23482360.43462,23963802.5780649
22588052.8780279,23099128.7389665,22188135.8796789,21226528.4558316,20282056.1644733,23481712.6005214,23964155.4778265
22588412.4560217,23098535.4009047,22188684.4131401,21226764.6465875,20281945.5392481,23481064.8168567,23964508.4580932
22588772.0941381,23097942.0332689,22189233.0560004,21227000.9272824,20281834.9893047,23480417.0401909,23964861.4967347
22589131.861112,23097348.6938061,22189781.7529732,21227237.1983942,20281724.569097,23479769.2859366,23965214.7000933
22589491.7134285,23096755.4605808,22190330.5206159,21227473.5389483,20281614.1737487,23479121.5239946,23965567.9639485
22589851.6392879,23096162.2287812,22190879.3579086,21227709.8727417,20281503.9678027,23478473.8122534,23965921.3624338
22590211.6209227,23095569.0368216,22191428.283695,21227946.3114323,20281393.8446548,23477826.0865922,23966274.844221
22590571.7047185,23094975.8201384,22191977.2312,21228182.7549612,20281283.7541959,23477178.4404693,23966628.4258387
22590931.9298513,23094382.6981142,22192526.2676718,21228419.2493708,20281173.8323166,23476530.7578284,23966982.1409543
22591292.1857528,23093789.6334275,22193075.4118868,21228655.7193497,20281064.0099362,23475883.1135338,23967335.9166963
22591652.5339377,23093196.5868215,22193624.5828343,21228892.2919423,20280954.221877,23475235.4688899,23967689.8031871
22592012.9391686,23092603.5825041,22194173.7984183,21229128.9052662,20280844.6222352,23474587.8777966,23968043.7567552
22592373.4484011,23092010.6410476,22194723.1409583,21229365.526816,20280735.0611139,23473940.2909976,23968397.8654516
22592734.0635756,23091417.7048109,22195272.5465269,21229602.2337641,20280625.6594349,23473292.7513079,23968752.0514947
22593094.8449725,23090824.8328813,22195822.0018936,21229838.9299025,20280516.3300602,23472645.2013762,23969106.3484974
22593455.5676014,23090231.9829662,22196371.4498758,21230075.6761548,20280407.0843656,23471997.7113368,23969460.7310309
22593816.4150764,23089639.1915193,22196921.1030703,21230312.4819645,20280297.9597225,23471350.1832888,23969815.2480696
22594177.3956605,23089046.4250302,22197470.7672041,21230549.3211929,20280188.9381145,23470702.6932942,23970169.8344913
22594538.4322529,23088453.6993263,22198020.4534676,21230786.1864814,20280080.0012733,23470055.2457342,23970524.5670563
22594899.5650684,23087861.0064209,22198570.3094533,21231023.1293449,20279971.1537665,23469407.8281355,23970879.2924608
22595260.7525502,23087268.4095203,22199120.163367,21231260.0331809,20279862.4299938,23468760.3967263,23971234.1906021
22595622.0840579,23086675.7887947,22199670.0949665,21231497.0741818,20279753.7878941,23468112.9894304,23971589.2657372
22595983.4443542,23086083.2127669,22200220.0403475,21231734.0986036,20279645.2654995,23467465.6458609,23971944.3242369
22596344.9626894,23085490.6750818,22200770.1029815,21231971.1634297,20279536.8742338,23466818.286019,23972299.5618121
22596706.4778534,23084898.1980164,22201320.2910743,21232208.2567948,20279428.5552576,23466170.9452021,23972654.8565176
22597068.1419463,23084305.722671,22201870.4376344,21232445.4533694,20279320.303267,23465523.6427036,23973010.2539005
22597429.847301,23083713.3054578,22202420.7434713,21232682.6210574,20279212.2159615,23464876.3231166,23973365.7346523
22597791.6448488,23083120.99006,22202971.0627623,21232919.8553006,20279104.1734665,23464229.0471622,23973721.3680969
22598153.5904227,23082528.6447441,22203521.4629044,21233157.1392424,20278996.2328983,23463581.8027763,23974077.0674493
22598515.5835398,23081936.3372932,22204071.9212781,21233394.4576959,20278888.4108265,23462934.6076523,23974432.8833486
22598877.6436216,23081344.1461557,22204622.4381747,21233631.8299615,20278780.7286055,23462287.3419748,23974788.8282759
22599239.7792973,23080751.8722982,22205173.1128149,21233869.1593554,20278673.0616936,23461640.1271167,23975144.8261352
22599602.0348002,23080159.7915388,22205723.7757056,21234106.6632523,20278565.5266184,23460992.9804271,23975500.9609836
22599964.3228027,23079567.6239818,22206274.5372573,21234344.0855603,20278458.1197576,23460345.8412039,23975857.1392463
22600326.7748874,23078975.5618361,22206825.33932,21234581.6584552,20278350.7671413,23459698.7219303,23976213.4955806
22600689.295669,23078383.4526051,22207376.201138,21234819.1774442,20278243.6033761,23459051.5904949,23976569.8912049
22601051.8558505,23077791.4754242,22207927.1651923,21235056.7216125,20278136.468225,23458404.5392405,23976926.4130407
22601414.5268114,23077199.5076604,22208478.1828752,21235294.3965746,20278029.4680995,23457757.4951544,23977283.0644066
22601777.2948435,23076607.5734112,22209029.2834942,21235532.0502531,20277922.5339251,23457110.3979253,23977639.753645
22602140.1426216,23076015.6702281,22209580.4116252,21235769.7408781,20277815.7570851,23456463.3729006,23977996.569603
22602503.079278,23075423.8146069,22210131.6686745,21236007.4891705,20277709.0486828,23455816.3628139,23978353.4530068
22602866.0827551,23074832.0182796,22210682.9209536,21236245.2960257,20277602.4172607,23455169.4158716,23978710.5293969
22603229.210383,23074240.2415109,22211234.2526484,21236483.1117357,20277495.9024401,23454522.4560693,23979067.6216039
22603592.3504979,23073648.5193751,22211785.7333116,21236720.9469519,20277389.5057093,23453875.4954634,23979424.8703695
22603955.6374442,23073056.8251161,22212337.1966108,21236958.8625247,20277283.1659155,23453228.5826302,23979782.2024787
22604318.9994278,23072465.1671201,22212888.7593071,21237196.8331448,20277176.9790799,23452581.6751218,23980139.5844239
22604682.4555627,23071873.5750778,22213440.3681375,21237434.8385046,20277070.8501762,23451934.7921072,23980497.1470186
22605046.0008609,23071282.011985,22213992.0619777,21237672.8243033,20276964.8313516,23451287.9239829,23980854.8031543
