carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575898.1321637,23119403.3189733,22169467.4337339,21218528.2179802,20285889.0792262,23503682.4354124,23952229.4029643
22576254.7595782,23118808.5946603,22170013.675094,21218763.0506636,20285775.0689649,23503033.9244316,23952578.9393851
22576611.449389,23118213.9296539,22170559.9572406,21218997.9554853,20285661.0859807,23502385.4491826,23952928.5372281
22576968.2738041,23117619.2452478,22171106.3639652,21219232.8800834,20285547.2142721,23501737.0787777,23953278.3076057
22577325.1068574,23117024.6304123,22171652.782091,21219467.881028,20285433.4531622,23501088.6424773,23953628.1179873
22577682.0987669,23116430.0812718,22172199.2795326,21219702.9255588,20285319.7664568,23500440.2489314,23953978.0587035
22578039.1177015,23115835.5471177,22172745.8452091,21219937.9268842,20285206.1973941,23499791.8864369,23954328.0777286
22578396.270385,23115241.0489068,22173292.498133,21220173.0049322,20285092.7868552,23499143.5266966,23954678.2002472
22578753.5018642,23114646.6148085,22173839.1847874,21220408.1287379,20284979.4197298,23498495.1820891,23955028.4539456
22579110.840842,23114052.2075564,22174385.9679643,21220643.3155458,20284866.1587184,23497846.8998501,23955378.7629271
22579468.2295265,23113457.8143231,22174932.8111879,21220878.5352611,20284752.9839399,23497198.5934433,23955729.2517317
22579825.6977044,23112863.4836877,22175479.7575869,21221113.7511242,20284639.9465275,23496550.3151367,23956079.7855029
22580183.3161237,23112269.2113361,22176026.7214091,21221349.0271654,20284526.9985122,23495902.0914843,23956430.4343966
22580540.9347789,23111674.9363119,22176573.763764,21221584.433157,20284414.1121363,23495253.8184705,23956781.1339616
22580898.6934803,23111080.7539984,22177120.8960394,21221819.7096887,20284301.4012352,23494605.5908446,23957132.0455174
22581256.5495848,23110486.5735626,22177668.0069624,21222055.1443591,20284188.6990189,23493957.4174945,23957482.9582591
22581614.4378766,23109892.4294306,22178215.3312955,21222290.5935816,20284076.133226,23493309.2691012,23957834.038529
22581972.4640006,23109298.3321675,22178762.6564528,21222526.0759924,20283963.7168087,23492661.0887587,23958185.1266742
22582330.5358668,23108704.2521887,22179310.0731805,21222761.6242111,20283851.3529847,23492012.9382359,23958536.4225665
22582688.722892,23108110.2535527,22179857.506793,21222997.1741963,20283739.1283092,23491364.818036,23958887.7952009
22583047.0059516,23107516.2891928,22180405.0399859,21223232.787182,20283626.9485456,23490716.6976473,23959239.2841575
22583405.3509295,23106922.3279051,22180952.6240267,21223468.3912009,20283514.9172202,23490068.63054,23959590.7808792
22583763.83167,23106328.4284688,22181500.2808548,21223704.0988615,20283402.956447,23489420.5536128,23959942.4569277
22584122.3093013,23105734.5384114,22182048.044633,21223939.8072374,20283291.1335813,23488772.5143453,23960294.232266
22584480.9713892,23105140.7410401,22182595.8818546,21224175.5781869,20283179.4075807,23488124.5139077,23960646.0928102
22584839.6371018,23104546.9479128,22183143.7013869,21224411.3900326,20283067.7017044,23487476.5392174,23960998.0911002
22585198.4433073,23103953.2280392,22183691.6550848,21224647.2390053,20282956.1795867,23486828.5360789,23961350.1356749
22585557.314053,23103359.477621,22184239.6602273,21224883.1040498,20282844.7755409,23486180.590455,23961702.3039495
22585916.2787173,23102765.8545298,22184787.7717599,21225119.040398,20282733.4074157,23485532.6672491,23962054.5527093
22586275.3159746,23102172.2020525,22185335.8983319,21225354.9798445,20282622.1337812,23484884.7281871,23962406.9238366
22586634.4208768,23101578.5937429,22185884.111802,21225590.9597437,20282510.9990791,23484236.8102002,23962759.4092943
22586993.6417736,23100985.046411,22186432.4145282,21225827.0255971,20282399.9675753,23483588.9622223,23963111.981015
22587352.9852826,23100391.5442603,22186980.7672297,21226063.0860494,20282289.0552853,23482941.1019326,23963464.6650581
22587712.3216625,23099798.0386449,22187529.1746629,21226299.1921167,20282178.2088423,23482293.2525188,23963817.4303868
22588071.8909302,23099204.5947128,22188077.6774726,21226535.3650337,20282067.4720555,23481645.4196522,23964170.3222464
22588431.4091965,23098611.1888758,22188626.2247871,21226771.5355508,20281956.8385664,23480997.6022202,23964523.3124835
22588791.0502859,23098017.8661437,22189174.8706533,21227007.7828835,20281846.3038194,23480349.8600735,23964876.3899099
22589150.8051104,23097424.5563901,22189723.5353894,21227244.0796926,20281735.861648,23479702.0856862,23965229.5566515
22589510.6002866,23096831.2680673,22190272.3081014,21227480.3805617,20281625.4647939,23479054.3434642,23965582.8468985
22589870.5375332,23096238.0045946,22190821.1317033,21227716.7381719,20281515.2611009,23478406.6000412,23965936.2409634
22590230.5600368,23095644.8370582,22191370.0086844,21227953.1237752,20281405.1492357,23477758.934063,23966289.7228682
22590590.6157927,23095051.6895078,22191918.9921821,21228189.5837235,20281295.1090727,23477111.2733601,23966643.3386099
22590950.7968372,23094458.5396365,22192468.0248424,21228426.0477274,20281185.2004257,23476463.5544978,23966997.0240444
22591311.0675569,23093865.4650722,22193017.1164584,21228662.5728539,20281075.3225623,23475815.9663029,23967350.785032
22591671.3720097,23093272.4258438,22193566.3245904,21228899.0923131,20280965.6166743,23475168.3443379,23967704.6844573
22592031.8555792,23092679.4035498,22194115.5461719,21229135.6819118,20280855.9789412,23474520.7272628,23968058.6805144
22592392.3376068,23092086.4426162,22194664.8591958,21229372.3233916,20280746.4943531,23473873.165508,23968412.7803422
22592752.9487041,23091493.5213423,22195214.2630083,21229608.98018,20280637.0290172,23473225.5856287,23968766.9561347
22593113.6027419,23090900.6417048,22195763.6611138,21229845.6621875,20280527.703009,23472578.0249873,23969121.2963612
22593474.3964657,23090307.7945173,22196313.2108323,21230082.4181517,20280418.506427,23471930.5528775,23969475.667404
22593835.2574221,23089714.9797525,22196862.7883066,21230319.2440954,20280309.366601,23471283.0719345,23969830.193471
22594196.2288656,23089122.1901975,22197412.4297063,21230556.089061,20280200.3409253,23470635.5905358,23970184.8217027
22594557.2105472,23088529.5144896,22197962.1226099,21230792.9481253,20280091.433793,23469988.1061968,23970539.4758087
22594918.3257151,23087936.8510635,22198511.9332534,21231029.8194138,20279982.6021277,23469340.7179964,23970894.2630232
22595279.5667242,23087344.1267977,22199061.7409472,21231266.7395708,20279873.9065806,23468693.2478569,23971249.1958839
22595640.8474741,23086751.5367758,22199611.7138524,21231503.7438988,20279765.2118715,23468045.8793342,23971604.2352416
22596002.2024205,23086158.9793531,22200161.7193478,21231740.7642649,20279656.7171637,23467398.4998131,23971959.3395395
22596363.6822084,23085566.4626811,22200711.7258797,21231977.8555586,20279548.3064822,23466751.1488265,23972314.5731796
22596725.2316856,23084973.9647224,22201261.8839189,21232214.9474245,20279439.998326,23466103.8172623,23972669.8792953
22597086.8457466,23084381.527739,22201812.0789575,21232452.0745676,20279331.7685153,23465456.4757276,23973025.263918
22597448.5739413,23083789.1389734,22202362.3690323,21232689.3054525,20279223.6709972,23464809.221385,23973380.7721277
22597810.3608001,23083196.7494092,22202912.6727983,21232926.4979803,20279115.6632639,23464161.9483528,23973736.3970751
22598172.3139859,23082604.4034415,22203463.0595945,21233163.8168153,20279007.7225841,23463514.6619667,23974092.0935393
22598534.2357699,23082012.1506929,22204013.5151132,21233401.0640511,20278899.887939,23462867.4634757,23974447.8986869
22598896.3111481,23081419.8447384,22204564.0798978,21233638.4442803,20278792.1743854,23462220.236489,23974803.8916251
22599258.4436865,23080827.670731,22205114.6850028,21233875.8142567,20278684.5866353,23461573.0715476,23975159.882388
22599620.7129571,23080235.4842218,22205665.3339295,21234113.2138704,20278577.0695714,23460925.9463271,23975516.0153216
22599982.9993856,23079643.3382882,22206216.0894565,21234350.6826119,20278469.688364,23460278.7687152,23975872.2315381
22600345.4388991,23079051.2673986,22206766.8658269,21234588.1522371,20278362.3574394,23459631.6089193,23976228.5798449
22600707.9637179,23078459.19054,22207317.7377377,21234825.7408585,20278255.1486203,23458984.5403545,23976584.960397
22601070.5023782,23077867.2412556,22207868.697738,21235063.2930068,20278148.0105294,23458337.4564681,23976941.4941139
22601433.1690691,23077275.2474712,22208419.7365548,21235300.8903754,20278040.9947224,23457690.3812418,23977298.1509915
22601795.9072696,23076683.2943279,22208970.7776694,21235538.5516545,20277934.1089704,23457043.3202773,23977654.839094
22602158.7671395,23076091.4053987,22209521.9788299,21235776.261893,20277827.2892251,23456396.3445724,23978011.6854392
22602521.7101951,23075499.565908,22210073.1378192,21236013.9946387,20277720.6046189,23455749.3226252,23978368.6805981
22602884.6915504,23074907.7651245,22210624.4143833,21236251.8209329,20277613.9875032,23455102.3085457,23978725.6682435
22603247.7611603,23074315.9682657,22211175.8049046,21236489.5665584,20277507.4755941,23454455.3859616,23979082.7747238
22603610.9153176,23073724.2382865,22211727.2249783,21236727.4664647,20277401.0774083,23453808.4798328,23979439.9997892
22603974.2110163,23073132.5370694,22212278.6886659,21236965.3433954,20277294.7540646,23453161.5340172,23979797.35847
22604337.5629043,23072540.9157907,22212830.2506441,21237203.2698589,20277188.5694058,23452514.5968731,23980154.8103014
22604700.932745,23071949.2828775,22213381.8736404,21237441.2820651,20277082.473657,23451867.7658238,23980512.3616422
22605064.4881139,23071357.705737,22213933.5334137,21237679.2758946,20276976.4624611,23451220.8845625,23980869.9856618
22605428.1029952,23070766.1557059,22214485.3053768,21237917.321663,20276870.5739478,23450574.0557905,23981227.7046094
22605791.764258,23070174.6981475,22215037.1730276,21238155.4273523,20276764.7879286,23449927.2627425,23981585.5576086
22606155.5772853,23069583.2185901,22215589.0121396,21238393.5477522,20276659.053529,23449280.4630589,23981943.476231
22606519.4218964,23068991.7769059,22216140.9665977,21238631.7157721,20276553.4399172,23448633.6709647,23982301.5084794
22606883.351398,23068400.4747238,22216693.0014248,21238869.9222821,20276447.9297214,23447986.9589603,23982659.6752723
22607247.4312145,23067809.1325891,22217245.1033102,21239108.1725184,20276342.5656405,23447340.2425582,23983017.9118408
22607611.5318174,23067217.7976617,22217797.2889585,21239346.4495262,20276237.2657384,23446693.5401971,23983376.2479116
22607975.7627035,23066626.5846205,22218349.5024985,21239584.8127829,20276132.0758238,23446046.8590592,23983734.7022154
22608340.0102331,23066035.3846256,22218901.7953955,21239823.166354,20276026.9743258,23445400.1676522,23984093.2613528
22608704.4356299,23065444.1763194,22219454.2277332,21240061.552841,20275921.9645172,23444753.5470508,23984451.918519
22609068.8600901,23064853.0408326,22220006.5910232,21240299.9763359,20275817.1094485,23444106.9143144,23984810.6515513
22609433.3749798,23064261.9839038,22220559.0974798,21240538.4930345,20275712.262877,23443460.2992284,23985169.518785
22609798.0482859,23063670.8684912,22221111.6742008,21240777.0401376,20275607.54813,23442813.7227019,23985528.4704481
22610162.7294444,23063079.9237237,22221664.3421551,21241015.6280857,20275502.9987005,23442167.1396498,23985887.4978076
22610527.5531014,23062488.908372,22222217.0169823,21241254.1992196,20275398.49131,23441520.6234672,23986246.6258167
22610892.4415162,23061897.9902579,22222769.7942718,21241492.845372,20275294.0973669,23440874.1165678,23986605.8894991
22611257.3662905,23061307.1108989,22223322.6180204,21241731.5530645,20275189.796452,23440227.6507472,23986965.2428402
22611622.4750843,23060716.2516982,22223875.5780875,21241970.2638745,20275085.6360776,23439581.1562968,23987324.7235865
22611987.6039406,23060125.4125711,22224428.5288174,21242209.0310518,20274981.5493319,23438934.6941355,23987684.2513697
22612352.8057639,23059534.6606352,22224981.5477437,21242447.8361847,20274877.5014493,23438288.2385468,23988043.9403735
22612718.1046519,23058943.9403178,22225534.7025704,21242686.6760429,20274773.6270127,23437641.9002629,23988403.6606148
22613083.5170534,23058353.2527527,22226087.8394082,21242925.5899349,20274669.8532976,23436995.4841924,23988763.5306078
22613449.0090341,23057762.5984876,22226641.1047406,21243164.4605046,20274566.1871978,23436349.0911713,23989123.5148477
22613814.5843851,23057171.9949333,22227194.3927802,21243403.4274437,20274462.5808682,23435702.8052615,23989483.5488202
22614180.2446076,23056581.3828407,22227747.7985577,21243642.4930396,20274359.0943789,23435056.438945,23989843.7047776
22614545.9935442,23055990.8663675,22228301.2174441,21243881.4694584,20274255.6950451,23434410.169485,23990203.940453
22614911.8227788,23055400.3552345,22228854.752487,21244120.5632573,20274152.4168584,23433763.8704025,23990564.3132021
22615277.6892944,23054809.945918,22229408.3589472,21244359.646626,20274049.2178672,23433117.6208455,23990924.7950208
22615643.6748199,23054219.5546414,22229961.9936318,21244598.8474477,20273946.0929464,23432471.3578806,23991285.3451818
22616009.7557167,23053629.1419151,22230515.7155048,21244838.0563137,20273843.1566924,23431825.1868205,23991645.9890652
22616375.9575284,23053038.8192706,22231069.4926378,21245077.2844091,20273740.2756385,23431179.0122312,23992006.7528972
22616742.1750336,23052448.559856,22231623.3253169,21245316.5470778,20273637.485877,23430532.8037431,23992367.6275594
22617108.4665671,23051858.3452905,22232177.2536473,21245555.8698441,20273534.811243,23429886.6981089,23992728.6018379
22617474.9566837,23051268.1331508,22232731.2783372,21245795.2537046,20273432.2137681,23429240.5374883,23993089.6568253
22617841.4360656,23050677.9963418,22233285.3113977,21246034.6331346,20273329.7185128,23428594.4326355,23993450.8415117
22618208.0363331,23050087.8652291,22233839.4309955,21246274.0803973,20273227.3569791,23427948.3725694,23993812.0824908
22618574.6635704,23049497.7266058,22234393.6075354,21246513.5533197,20273125.0845519,23427302.2755063,23994173.4757415
22618941.4748278,23048907.7742198,22234947.913951,21246753.0533952,20273022.8581801,23426656.2383877,23994534.9023119
22619308.305307,23048317.7251275,22235502.2000166,21246992.6386731,20272920.7627677,23426010.210312,23994896.5108418
22619675.1753081,23047727.7748809,22236056.5859107,21247232.1754254,20272818.8381182,23425364.2670405,23995258.1543922
