pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575898.5216152,23119405.9454805,22169466.9899132,21218528.9783801,20285888.9901483,23503681.8690032,23952229.7214272
22576255.1621118,23118811.047376,22170013.1391152,21218763.627488,20285774.8277358,23503033.3403867,23952579.0966477
22576611.6658179,23118216.2690029,22170559.3689733,21218998.5362166,20285660.7801544,23502384.871112,23952928.7160154
22576968.6447868,23117621.6599625,22171105.7835119,21219233.4300662,20285546.8661614,23501736.5272134,23953278.2927239
22577325.4212857,23117026.8292671,22171652.1921545,21219468.4498794,20285432.9286869,23501088.2052849,23953628.4716244
22577682.5090927,23116432.2372085,22172198.6428115,21219703.756129,20285319.1977868,23500439.662321,23953978.4371232
22578039.7109586,23115837.7314716,22172745.3329775,21219938.700797,20285205.6877237,23499791.3610837,23954328.497609
22578396.7300183,23115243.3372087,22173292.108881,21220173.6612366,20285092.2799712,23499143.0005868,23954678.6536678
22578753.8751775,23114648.9418527,22173839.1183716,21220408.4832598,20284979.1518868,23498494.8718815,23955028.9512301
22579110.9455932,23114054.4739745,22174385.9835017,21220643.7390805,20284865.7776107,23497846.6463363,23955379.2343421
22579468.4744163,23113460.0583239,22174932.9130029,21220879.002259,20284752.5340412,23497198.3979286,23955729.6231692
22579825.8216145,23112865.9406599,22175479.8735475,21221114.2547626,20284639.3051153,23496550.4233631,23956080.2702485
22580183.4631007,23112271.7232549,22176026.9740443,21221349.4839529,20284526.1363617,23495902.0084421,23956431.1815001
22580541.0814821,23111677.5927214,22176574.2662172,21221584.741966,20284413.6251939,23495253.651596,23956781.6697595
22580898.9062606,23111083.2485572,22177121.5168755,21221820.3661991,20284300.7605206,23494605.3067486,23957132.4890709
22581256.6335788,23110489.1306077,22177668.6349173,21222055.6806315,20284187.9354529,23493956.9647257,23957483.3461976
22581614.6970887,23109894.972607,22178215.9628417,21222291.0881306,20284075.3137121,23493308.8254253,23957834.3485503
22581972.8130203,23109300.9329877,22178763.06412,21222526.4438121,20283962.4477266,23492660.3569986,23958185.357724
22582330.9835973,23108706.9138289,22179310.4388057,21222761.9154393,20283850.0298531,23492012.2772257,23958536.7338923
