pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575878.4109591,23119327.2741951,22169525.6433822,21218521.9676183,20285877.6680708,23503749.0457645,23952213.3895267
22576235.2232989,23118731.9130018,22170072.1370132,21218756.1923946,20285765.7045018,23503100.850639,23952564.5498725
22576592.1306894,23118136.1939569,22170617.1287479,21218991.1645918,20285649.6375423,23502451.5911749,23952914.0408963
22576949.570921,23117543.1038618,22171163.8414766,21219225.0689663,20285535.7047896,23501802.8313162,23953262.5760473
22577306.2422319,23116949.9251463,22171711.3711513,21219459.2853717,20285420.9189509,23501154.5244371,23953614.0934968
22577661.6436132,23116353.8014761,22172256.5420196,21219693.9344511,20285307.1047349,23500507.3657146,23953962.6912143
22578019.0040814,23115760.6100266,22172804.0473904,21219928.958605,20285194.7818509,23499858.9931208,23954312.9910476
22578376.2891766,23115165.9708263,22173349.8574668,21220166.1022338,20285082.3602824,23499209.6431914,23954663.1110505
22578734.5969179,23114570.5270694,22173896.2726417,21220402.2845874,20284968.4276306,23498562.5182284,23955012.7443213
22579092.3294,23113976.4073767,22174442.238384,21220635.3723648,20284855.3548532,23497913.0676564,23955364.3948417
22579448.921183,23113381.8066322,22174993.1590829,21220870.5661569,20284741.8119004,23497265.4052721,23955715.0869504
22579806.6182749,23112789.6654323,22175537.2993499,21221106.6752202,20284630.4423879,23496618.8564221,23956065.1143283
22580163.8153512,23112193.9805929,22176083.7252418,21221341.5606677,20284514.7867495,23495970.6019906,23956415.244638
22580521.1174437,23111598.4956884,22176631.2705773,21221577.500546,20284402.2100648,23495322.9267778,23956765.6855878
22580880.5985063,23111004.6664108,22177178.0245088,21221812.6951455,20284290.8881181,23494673.1534737,23957116.8477669
22581237.7204336,23110411.1197332,22177725.0880051,21222048.6511201,20284178.0658862,23494024.7396526,23957466.5349791
22581595.1304991,23109817.56001,22178272.2485041,21222283.7398821,20284066.7459945,23493376.2740253,23957820.0393666
22581952.8029498,23109221.2537172,22178820.7748306,21222519.2277895,20283952.6611002,23492730.38064,23958171.8266865
22582311.8033074,23108628.2618973,22179367.6895526,21222753.7151225,20283842.0160467,23492079.702543,23958520.8819391
22582670.0204482,23108035.0579133,22179916.2350373,21222987.8722269,20283727.1496092,23491432.5869674,23958871.7186651
22583026.6735956,23107440.3319297,22180463.2622989,21223226.6711733,20283616.0844822,23490783.9949062,23959225.5474363
22583387.3553054,23106845.725159,22181009.9865382,21223461.1590437,20283504.0521562,23490135.697482,23959576.61841
22583743.0111346,23106254.3280417,22181559.0651157,21223695.5033373,20283391.6864869,23489489.5443281,23959926.9592439
22584102.0724733,23105660.5016715,22182105.7213931,21223933.7535713,20283279.1543602,23488839.8260085,23960278.8428877
22584461.381314,23105065.1164883,22182655.2758113,21224169.62965,20283169.1962341,23488190.4007343,23960630.4753047
22584820.5385567,23104469.836492,22183203.2109329,21224404.6144821,20283054.3278824,23487542.1459238,23960982.5858072
22585180.5952925,23103878.3611859,22183750.7759276,21224639.1072769,20282942.667572,23486896.0605868,23961335.5012762
22585540.2323492,23103283.2381861,22184299.7665226,21224875.9453846,20282833.8109722,23486246.8407417,23961688.5854013
22585895.5220046,23102687.9680062,22184846.9166921,21225111.2184025,20282724.1707247,23485598.6428037,23962040.2484603
22586257.316243,23102096.0604706,22185393.3892143,21225348.7972422,20282612.1146034,23484951.5070069,23962391.1165461
22586614.604977,23101502.0183729,22185942.524744,21225582.4694946,20282500.8792615,23484304.5770826,23962745.9873639
22586973.7502491,23100908.3824768,22186490.8068455,21225819.4745836,20282389.6717552,23483656.8902806,23963095.0209248
22587334.50473,23100316.8242964,22187039.3589048,21226056.0814599,20282278.4974471,23483008.7819642,23963449.3491173
22587691.6706115,23099721.6215374,22187586.6410055,21226292.9224121,20282167.6914514,23482360.7621008,23963802.8407057
22588053.2699183,23099126.1997056,22188135.489275,21226529.913846,20282054.8071865,23481712.011166,23964155.7081319
22588412.5327597,23098536.8262568,22188685.5177206,21226763.4557128,20281945.9434286,23481064.6784423,23964508.4729636
22588773.3522159,23097943.126396,22189233.1159765,21227000.8552404,20281835.4011639,23480416.3830345,23964860.296169
22589132.196445,23097349.2031512,22189781.1828702,21227236.5190921,20281723.8846771,23479769.7042322,23965216.0162301
22589491.8926983,23096754.5173268,22190331.5489368,21227473.2080727,20281614.7557424,23479122.0770089,23965568.7858931
22589851.5797727,23096162.6871645,22190880.2618168,21227710.4012921,20281503.3682819,23478475.6568546,23965921.441542
22590209.7391059,23095569.8895847,22191428.2969132,21227946.008582,20281394.457865,23477825.533113,23966275.3618682
22590571.4702816,23094976.6844903,22191977.9937447,21228182.4815366,20281285.1769037,23477179.298106,23966629.2609467
22590930.9604019,23094385.4392126,22192525.3830275,21228418.2670923,20281173.1362836,23476532.0493863,23966981.9444844
22591293.912899,23093790.2032373,22193075.8182074,21228656.8719315,20281064.1467767,23475881.2719915,23967335.1413465
22591652.212331,23093195.6858379,22193623.0509306,21228891.0291592,20280954.5373008,23475236.0852243,23967689.685143
22592012.6576164,23092606.4548652,22194172.7766186,21229129.1313713,20280845.2575765,23474587.8155797,23968043.2911005
22592372.5399067,23092011.2034584,22194723.8863756,21229364.5780539,20280735.7721755,23473941.1057432,23968398.8207555
22592733.3688387,23091419.0938154,22195272.4939604,21229602.6053189,20280624.9631124,23473292.3911619,23968751.6850486
22593094.6492372,23090824.0503598,22195821.9578226,21229839.0016384,20280515.9816557,23472644.846642,23969106.9566527
22593453.9987811,23090233.0365869,22196370.5646744,21230076.0595743,20280404.3982209,23471997.3824055,23969461.3816985
22593815.2169614,23089638.6236174,22196921.9142515,21230312.1311908,20280297.6542961,23471349.8150243,23969816.1731647
22594177.3208245,23089045.8077207,22197472.2934426,21230551.2765296,20280188.9905668,23470703.69036,23970168.7168109
22594537.9141324,23088453.7669525,22198020.2727072,21230787.6052536,20280081.9486494,23470056.4882584,23970524.2993841
22594898.1159655,23087861.5816606,22198570.0814355,21231022.1218518,20279972.8270881,23469408.7269983,23970878.4095911
22595261.2600822,23087268.6790379,22199119.7078975,21231259.635098,20279862.0407496,23468762.0051553,23971233.6395005
22595623.0952413,23086675.7987852,22199670.2149254,21231497.2871582,20279754.3969975,23468113.4485905,23971591.1930656
22595982.0539897,23086083.0515602,22200219.3554958,21231733.8297654,20279645.8928578,23467466.6629733,23971944.0413763
22596347.1991866,23085492.179737,22200769.7685164,21231970.6596586,20279537.041023,23466818.8260164,23972297.7757489
22596704.9010172,23084897.655098,22201317.6275194,21232208.6645246,20279429.3355912,23466171.9301449,23972654.9463685
22597068.8774849,23084304.6591324,22201870.7640872,21232444.444105,20279322.4599425,23465522.4993098,23973011.3884558
22597430.2088086,23083713.9348187,22202419.6846778,21232683.244818,20279213.623917,23464877.6740921,23973365.9101244
22597790.6847342,23083122.4128345,22202971.3084822,21232921.8248738,20279103.6453409,23464230.8077462,23973720.2427077
22598153.071213,23082527.6585135,22203520.6382586,21233156.3998675,20278995.8617376,23463583.2302575,23974077.4311255
22598516.0967518,23081935.8449687,22204071.1373773,21233394.1477076,20278890.0131622,23462936.6478374,23974432.390498
