carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575878.8567023,23119327.3619485,22169525.4076632,21218521.0589762,20285878.0067774,23503749.7021123,23952214.8448338
22576235.4861516,23118732.6373733,22170071.6254638,21218755.8751044,20285763.9103635,23503101.2272557,23952564.3354674
22576592.2369383,23118137.9502251,22170617.886373,21218990.8182561,20285649.9676796,23502452.7991417,23952913.9402784
22576949.0148528,23117543.3351374,22171164.3253294,21219225.6884348,20285536.1245139,23501804.3262387,23953263.6991402
22577305.9278765,23116948.7277889,22171710.7405514,21219460.6934925,20285422.3379175,23501155.9432925,23953613.5337272
22577662.8602727,23116354.1820261,22172257.2500055,21219695.7140639,20285308.6663169,23500507.5895292,23953963.40453
22578019.9551242,23115759.6286103,22172803.8345053,21219930.7998081,20285195.0749263,23499859.1517882,23954313.4200536
22578377.0743061,23115165.1326864,22173350.5063135,21220165.8734668,20285081.6154505,23499210.8327886,23954663.575786
22578734.2773449,23114570.7055366,22173897.2360149,21220401.039569,20284968.2786946,23498562.4562988,23955013.7939836
22579091.6689251,23113976.2955611,22174443.952265,21220636.1629725,20284854.999821,23497914.1664622,23955364.1284308
22579449.0570923,23113381.9172294,22174990.8409008,21220871.3753793,20284741.8097031,23497265.8200761,23955714.5932469
22579806.5502611,23112787.5972466,22175537.739728,21221106.6266039,20284628.7764071,23496617.6004898,23956065.0993581
22580164.0823489,23112193.3059348,22176084.7111335,21221341.9760874,20284515.8200537,23495969.3126446,23956415.74691
22580521.8107989,23111599.0508085,22176631.8437787,21221577.2912857,20284402.930376,23495321.0533268,23956766.4735099
22580879.5571167,23111004.8695276,22177178.9196853,21221812.6653078,20284290.2177163,23494672.8667633,23957117.3507747
22581237.4183426,23110410.6356022,22177726.1348582,21222048.1101167,20284177.5261768,23494024.6417687,23957468.2869931
22581595.3565868,23109816.534981,22178273.3728586,21222283.5258028,20284064.9813804,23493376.4573794,23957819.3111432
22581953.3678284,23109222.4314223,22178820.7015086,21222518.9935064,20283952.5378973,23492728.3571494,23958170.4762287
22582311.4420839,23108628.3784254,22179368.1082205,21222754.5898717,20283840.1403412,23492080.1987374,23958521.7046441
22582669.6226599,23108034.3565389,22179915.5646168,21222990.145028,20283727.927219,23491432.0591905,23958873.0057223
22583027.9429302,23107440.3622982,22180463.1577418,21223225.7436767,20283615.7257607,23490783.9456653,23959224.5037086
22583386.2639611,23106846.4006547,22181010.7371994,21223461.4145716,20283503.67036,23490135.8927969,23959576.0790978
22583744.7330288,23106252.5166404,22181558.4114434,21223697.0994549,20283391.7519653,23489487.8030583,23959927.7218334
22584103.2794508,23105658.6601886,22182106.1475296,21223932.8198242,20283279.8804769,23488839.7649723,23960279.4538914
22584461.8775126,23105064.8391832,22182653.9730531,21224168.5917152,20283168.1298121,23488191.7188635,23960631.3402107
22584820.579292,23104471.0989158,22183201.8207945,21224404.4056241,20283056.4896705,23487543.7037476,23960983.2277252
22585179.3999929,23103877.3067194,22183749.7949653,21224640.2496803,20282944.9324383,23486895.7168606,23961335.3253988
22585538.2706493,23103283.6015844,22184297.7887502,21224876.1382724,20282833.4667765,23486247.806609,23961687.4851842
22585897.2571299,23102689.9257165,22184845.9291973,21225112.0690031,20282722.1343162,23485599.8880239,23962039.7484653
22586256.3300018,23102096.2944531,22185394.0494927,21225348.0597153,20282610.8515784,23484951.9450975,23962392.0997337
22586615.4406344,23101502.7319051,22185942.2877215,21225584.0451511,20282499.7225581,23484304.012411,23962744.6017335
22586974.6833753,23100909.2078675,22186490.590413,21225820.1246344,20282388.6583285,23483656.1447504,23963097.1564228
22587334.0023057,23100315.6774939,22187038.9129587,21226056.1767612,20282277.7749302,23483008.2941854,23963449.8604474
22587693.432363,23099722.1972942,22187587.3192981,21226292.2841635,20282166.9238062,23482360.4139838,23963802.6381693
22588052.8956509,23099128.7560271,22188135.8514121,21226528.4453463,20282056.1611804,23481712.5814795,23964155.4923578
22588412.4785341,23098535.3549672,22188684.3954896,21226764.6837443,20281945.4814669,23481064.8148546,23964508.4260174
22588772.1322576,23097942.0253788,22189233.0694355,21227000.9286925,20281834.9438352,23480417.0414939,23964861.5213019
22589131.8931377,23097348.7523534,22189781.7602389,21227237.2021784,20281724.5055274,23479769.2797959,23965214.7125909
22589491.658029,23096755.4143682,22190330.5568969,21227473.5311242,20281614.1888696,23479121.5173486,23965567.9900424
22589851.6203118,23096162.1739604,22190879.3843218,21227709.878508,20281503.9403439,23478473.7852299,23965921.3649395
22590211.6338393,23095569.0177613,22191428.298817,21227946.2828382,20281393.8230509,23477826.0929715,23966274.8200749
22590571.7296102,23094975.8303598,22191977.2274337,21228182.7413082,20281283.7899432,23477178.4324059,23966628.4435578
22590931.9129092,23094382.7083457,22192526.2600187,21228419.2053407,20281173.8181894,23476530.7964268,23966982.1004698
22591292.1561497,23093789.6669263,22193075.4180478,21228655.7359962,20281063.9974685,23475883.0996877,23967335.8818599
22591652.5465191,23093196.6260488,22193624.5718216,21228892.3205352,20280954.2104326,23475235.5401302,23967689.7986345
22592012.9653094,23092603.5839622,22194173.8493843,21229128.8864999,20280844.5992733,23474587.9081986,23968043.7918782
