pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575900.0853912,23119403.962856,22169467.4708218,21218528.0964384,20285888.9017535,23503683.0232551,23952229.2108204
22576254.7999922,23118809.1128833,22170014.328786,21218762.7394798,20285775.0776982,23503033.305789,23952579.3620495
22576612.1013713,23118214.3883324,22170560.857878,21219000.1512744,20285660.5970684,23502386.9892361,23952928.6826836
22576968.9069434,23117618.4399912,22171106.0694866,21219233.562572,20285545.7262706,23501736.7905058,23953277.9422622
22577325.0942247,23117024.9670167,22171653.0557007,21219469.1584324,20285436.0454195,23501087.9851409,23953628.8655411
22577682.8347669,23116429.0126573,22172198.9260772,21219703.8776389,20285320.8005205,23500439.7181971,23953978.1509716
22578037.5135834,23115835.4305095,22172745.7733529,21219938.2702415,20285205.6443384,23499792.3976874,23954328.8360684
22578395.9175474,23115240.7942791,22173292.6660367,21220172.9711588,20285092.9217953,23499144.3853746,23954678.1532778
22578753.3784507,23114646.5600579,22173838.023705,21220408.766933,20284979.0465267,23498495.5708192,23955029.3704164
22579108.3427636,23114051.8622653,22174387.5677334,21220642.2525883,20284866.6949036,23497847.1248317,23955379.0343195
22579469.1355175,23113456.9238459,22174932.0414896,21220877.985918,20284753.8306375,23497197.8491914,23955728.2273678
22579824.7739845,23112862.5095765,22175480.3340393,21221114.1680184,20284639.2278508,23496549.6066605,23956081.2502574
22580183.4761855,23112269.0427604,22176027.2222752,21221347.9233196,20284527.1933,23495899.678914,23956429.0785286
22580540.7659411,23111674.7130792,22176573.5501607,21221584.2433202,20284413.8910245,23495253.5719028,23956780.5663132
22580899.3868024,23111079.5120363,22177120.6937771,21221819.0017386,20284301.628594,23494605.5182396,23957132.6299884
22581259.7863491,23110486.5455737,22177667.1961317,21222056.4723741,20284188.4805132,23493956.8158599,23957482.9959011
22581613.8233295,23109892.9055392,22178213.6204082,21222289.8617943,20284075.1798705,23493308.9397938,23957834.5839625
22581973.1639531,23109298.7922647,22178763.9293575,21222525.039184,20283965.1769879,23492660.7904183,23958187.1930534
22582329.365818,23108706.3329106,22179310.6106896,21222761.4875025,20283851.2318655,23492011.7466278,23958535.5673502
22582690.1835633,23108109.1901557,22179857.7580488,21222997.368117,20283739.3174277,23491363.6532853,23958889.8551803
22583046.5304667,23107515.4476713,22180402.990354,21223231.5749773,20283625.8077104,23490716.45294,23959239.2644637
22583404.6294938,23106923.0563136,22180952.1853791,21223468.1638517,20283514.3698945,23490067.2544271,23959590.1930774
22583765.7214797,23106329.4991855,22181498.8632874,21223702.6139827,20283403.5284058,23489419.4313281,23959943.7467981
22584124.6457698,23105736.1842488,22182047.535677,21223939.2416092,20283292.4194894,23488772.8455098,23960293.7724583
22584482.4408592,23105140.8239607,22182596.375742,21224174.7945194,20283177.4273893,23488125.7872743,23960646.3003369
22584838.4134722,23104545.6231496,22183143.8266311,21224412.073748,20283067.73778,23487475.9676242,23960997.7773821
22585196.9233432,23103954.6752033,22183690.9404938,21224649.0923333,20282954.9083492,23486827.4286991,23961350.080681
22585557.4190975,23103359.9721643,22184239.3545053,21224883.1602643,20282844.3491818,23486179.8488536,23961703.0459428
22585917.5341923,23102765.5650735,22184788.1549955,21225118.4842405,20282731.1290433,23485532.5290872,23962054.2907325
22586273.5025014,23102172.3582819,22185337.6016602,21225353.5213582,20282621.273368,23484884.3518877,23962408.3522544
22586635.0941194,23101578.0843665,22185886.8895168,21225590.2983462,20282510.9677263,23484237.3341278,23962759.2604844
22586994.1078866,23100985.1424166,22186430.1926261,21225826.5200128,20282401.623197,23483587.407894,23963110.67523
22587353.699777,23100392.6212267,22186980.4918344,21226064.2963197,20282288.5709823,23482939.7775231,23963463.8797121
22587713.207061,23099796.9022884,22187527.6934849,21226299.7401804,20282177.2230892,23482293.8004358,23963817.1638129
22588072.0408662,23099203.6362225,22188078.3516781,21226535.4753481,20282066.7309208,23481646.3996433,23964169.0704159
22588431.8708278,23098611.1743314,22188625.3288101,21226772.2122405,20281957.7631533,23480997.1316608,23964525.8232115
22588790.8550291,23098017.3904213,22189174.3485764,21227006.2291408,20281846.7779219,23480350.2313864,23964877.3305867
22589151.2634624,23097423.6695743,22189723.7625054,21227244.3679439,20281736.5172843,23479702.370092,23965230.7435225
22589509.8679322,23096831.5935332,22190271.3216024,21227480.4658126,20281624.1159866,23479055.3834042,23965581.5590844
22589868.5274711,23096236.74453,22190821.2150782,21227716.0391925,20281514.9838815,23478405.8059638,23965937.2849024
22590229.5357492,23095645.63017,22191370.8942068,21227952.6653224,20281405.73879,23477759.9580928,23966290.3826874
22590589.5427379,23095052.5188172,22191919.904643,21228187.5042564,20281294.1288517,23477110.9621571,23966642.3878639
22590950.2969476,23094456.8811477,22192470.1358571,21228425.4114931,20281184.991802,23476462.6628181,23966997.0449866
22591312.2195542,23093865.592585,22193015.7398688,21228663.9268715,20281076.277202,23475816.4514637,23967351.279412
22591672.5928801,23093273.1962189,22193566.7379038,21228899.713662,20280966.9354215,23475169.1111747,23967702.9625241
22592031.4107248,23092680.0890177,22194115.3042389,21229134.497412,20280855.4246208,23474521.2088346,23968058.0906376
22592392.4555651,23092086.3199365,22194663.7865704,21229371.6331603,20280745.5545984,23473874.062309,23968411.4474705
22592752.5091061,23091492.5980093,22195214.9918234,21229608.4453467,20280637.3531142,23473225.6973989,23968768.5961122
22593114.0559813,23090899.7932464,22195761.1369152,21229846.0704606,20280528.4531545,23472579.1743806,23969120.7436046
