carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575898.1065222,23119403.3220723,22169467.4630929,21218528.2596494,20285889.0550287,23503682.4370525,23952229.4181202
22576254.778967,23118808.5714504,22170013.6859736,21218763.0479238,20285775.0308844,23503033.9284467,23952578.9293117
22576611.4688166,23118213.9193926,22170559.9582265,21218998.0023262,20285661.090998,23502385.5023652,23952928.558027
22576968.2505552,23117619.2622219,22171106.3531708,21219232.8505595,20285547.1924274,23501737.0741707,23953278.2980135
22577325.1342306,23117024.6622083,22171652.7641542,21219467.8730957,20285433.4083178,23501088.6559137,23953628.1320868
22577682.1101392,23116430.0844899,22172199.2704106,21219702.8644863,20285319.8087201,23500440.2598362,23953978.0688629
22578039.135137,23115835.5482363,22172745.8384173,21219937.9288476,20285206.2183694,23499791.8760811,23954328.0602764
22578396.3112806,23115241.0755314,22173292.4562293,21220173.0173175,20285092.7760288,23499143.5454067,23954678.2354988
22578753.5422348,23114646.6508923,22173839.1795888,21220408.133913,20284979.3844726,23498495.1959257,23955028.480332
22579110.8386579,23114052.187389,22174385.975118,21220643.3383089,20284866.1511216,23497846.8718244,23955378.7824334
22579468.2603662,23113457.8222734,22174932.8493119,21220878.5506309,20284752.9784076,23497198.5806706,23955729.2283166
22579825.7512791,23112863.5504181,22175479.7367829,21221113.745729,20284639.8955998,23496550.3054331,23956079.7800255
22580183.2979124,23112269.2446036,22176026.6864301,21221349.0149947,20284526.9421026,23495902.0656631,23956430.4224936
22580540.9824475,23111674.983177,22176573.7495875,21221584.3622301,20284414.1252311,23495253.810867,23956781.1386036
22580898.6920327,23111080.7611239,22177120.8880535,21221819.7144955,20284301.3591269,23494605.6015773,23957132.0298257
22581256.5143342,23110486.5847445,22177668.1022424,21222055.1518776,20284188.6945874,23493957.4222463,23957482.9842764
22581614.4728461,23109892.4606977,22178215.3428592,21222290.6276539,20284076.1825442,23493309.204565,23957833.9969575
22581972.4877505,23109298.341543,22178762.626753,21222526.0807434,20283963.7196535,23492661.0519839,23958185.167553
22582330.5759154,23108704.2629822,22179310.0548144,21222761.6160041,20283851.3200456,23492012.9457754,23958536.4128343
22582688.7138017,23108110.2367291,22179857.4944994,21222997.1844127,20283739.1011491,23491364.8167917,23958887.7862925
22583047.0003327,23107516.3035925,22180405.0256827,21223232.7527171,20283626.9516131,23490716.7241316,23959239.2197437
22583405.3685539,23106922.3159646,22180952.6326088,21223468.4296275,20283514.89262,23490068.6437769,23959590.7983569
22583763.7936328,23106328.4406183,22181500.3401295,21223704.1278686,20283402.9525093,23489420.598156,23959942.456779
22584122.3268509,23105734.5210034,22182048.0883576,21223939.8524604,20283291.0964054,23488772.5382891,23960294.2126416
22584480.9581582,23105140.7538534,22182595.8449165,21224175.5683204,20283179.3634009,23488124.5232204,23960646.0798649
22584839.6909051,23104546.9544143,22183143.7194836,21224411.3742085,20283067.7184098,23487476.5083189,23960998.0382288
22585198.4278606,23103953.2027547,22183691.6684504,21224647.2320092,20282956.2233479,23486828.5186671,23961350.0880435
22585557.3075121,23103359.4809519,22184239.6997766,21224883.0794863,20282844.7507978,23486180.5227623,23961702.2931036
