pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575878.0891168,23119327.1363425,22169525.7119337,21218520.5415633,20285878.8264235,23503749.4243322,23952214.4922148
22576235.0547914,23118732.7035176,22170072.9944952,21218754.8315001,20285763.8914332,23503101.7292782,23952565.4043182
22576591.801441,23118138.101585,22170617.8223388,21218990.2177276,20285649.5621224,23502454.4538186,23952914.9982466
22576948.4196413,23117542.5267749,22171164.7848563,21219226.8144195,20285535.9356622,23501803.9568888,23953264.7177166
22577306.8128659,23116949.2421065,22171708.4252317,21219460.1062528,20285422.6173057,23501154.0599401,23953613.6490965
22577663.2230193,23116356.7029451,22172256.8139766,21219695.7221921,20285309.222309,23500507.7473871,23953962.0240836
22578020.4366721,23115757.5905491,22172804.8945907,21219930.7553799,20285194.8026049,23499859.0599395,23954312.7449875
22578379.5324645,23115164.999848,22173349.5237034,21220165.8155899,20285083.2345762,23499211.0805603,23954662.8808357
22578736.5992818,23114570.2379083,22173896.4578211,21220400.881877,20284966.4096315,23498562.6072741,23955015.3340341
22579090.2862677,23113975.9340067,22174446.2384669,21220638.319987,20284854.5415474,23497912.8855874,23955366.2914499
22579447.7882269,23113382.2687576,22174992.0358053,21220872.6988104,20284742.2271134,23497265.9919323,23955712.904041
22579805.6133449,23112787.1222016,22175536.4464421,21221104.9448981,20284629.3651235,23496616.855963,23956065.514629
22580163.8422402,23112193.7849962,22176084.85857,21221342.1666218,20284517.4711502,23495968.0401428,23956415.156638
22580520.3966901,23111599.782264,22176632.7619848,21221576.487133,20284402.2812589,23495321.1390637,23956766.34893
22580879.2608255,23111004.545907,22177178.712024,21221811.725631,20284289.1054178,23494673.688346,23957116.9599007
22581238.0208255,23110410.3996248,22177726.1137642,21222046.2277714,20284176.8793706,23494025.3693418,23957466.8970729
22581596.8072833,23109815.5857785,22178273.2493437,21222282.9022972,20284064.921414,23493374.9163034,23957819.0303534
22581954.1483517,23109221.4925131,22178819.7712369,21222519.6354996,20283953.7806647,23492728.1364052,23958172.0798353
22582311.5893182,23108629.0654709,22179368.0536928,21222754.914872,20283840.4544958,23492079.3354424,23958522.9526638
22582669.5392822,23108034.1314264,22179914.2851356,21222989.3942749,20283728.9138524,23491430.5493571,23958870.553435
22583028.4056635,23107442.2036147,22180462.6632919,21223225.9138241,20283615.6604454,23490783.8690173,23959224.9887593
22583386.456189,23106847.8908823,22181011.3634588,21223461.8271167,20283503.3926829,23490134.0624259,23959576.1018741
22583742.2795568,23106252.1918878,22181559.6843809,21223696.0239497,20283391.4986678,23489488.1325799,23959928.1895715
22584102.868177,23105657.5883491,22182107.9080391,21223932.5079754,20283278.4068256,23488839.136708,23960280.8828654
22584462.7002326,23105065.4724222,22182654.1016705,21224168.4743975,20283168.5572816,23488189.5620656,23960630.6891699
22584820.9705267,23104471.3132417,22183201.4500421,21224404.9247349,20283057.810901,23487543.5219948,23960984.4801612
22585178.4523319,23103877.3873914,22183750.2623116,21224640.0456135,20282946.0545471,23486894.2175142,23961333.2768054
22585535.4166317,23103281.7271607,22184297.552344,21224874.3167198,20282834.2006849,23486246.0246636,23961689.090082
22585896.30823,23102690.1261344,22184845.787761,21225111.7032927,20282721.661219,23485602.392117,23962040.5471987
22586257.149217,23102096.0882348,22185393.6359078,21225347.8205198,20282611.4365064,23484951.024893,23962392.4452491
22586615.0849575,23101504.4479997,22185941.8295388,21225585.0658955,20282498.8193186,23484303.2371246,23962742.4841002
22586973.206933,23100909.3645324,22186490.213228,21225820.7197807,20282388.6910871,23483656.5007018,23963097.0278029
22587332.0736891,23100315.6356262,22187037.2280307,21226057.9799544,20282276.2779574,23483008.376726,23963450.1595245
22587693.5616906,23099720.5534663,22187588.4567518,21226290.4109683,20282166.3851482,23482360.0507661,23963803.9895647
22588052.4977026,23099127.9639549,22188136.4502307,21226529.1059806,20282055.1188664,23481713.8988262,23964154.084143
22588411.2334272,23098536.0124017,22188685.7926036,21226763.5093571,20281944.8929322,23481064.1571165,23964507.5862761
22588772.6171766,23097943.1587864,22189234.4980304,21227001.0734156,20281835.8524844,23480417.5729394,23964861.8117649
22589132.1431169,23097349.4130998,22189781.2348985,21227236.3322295,20281724.0658689,23479768.957238,23965216.0388098
22589491.335866,23096755.67779,22190328.7637869,21227475.0895307,20281615.4866908,23479121.7028938,23965567.3628835
22589851.7919552,23096161.5201469,22190879.5670967,21227707.2854482,20281504.3877015,23478475.0239177,23965921.2479224
22590211.6195176,23095567.7901602,22191428.9661175,21227945.9349436,20281394.2630758,23477824.1500637,23966273.1216305
22590571.8975986,23094977.5161303,22191978.1436057,21228182.8585675,20281284.0876727,23477179.0037048,23966630.8755609
22590935.2106385,23094384.8650385,22192526.7035833,21228419.5710452,20281172.2608648,23476531.3242316,23966985.2712917
22591292.0511951,23093790.624412,22193076.0938841,21228654.6412234,20281063.9007409,23475883.8288502,23967333.9464488
22591654.2782994,23093196.3902263,22193625.6875971,21228892.7931905,20280953.3552845,23475236.2807329,23967689.7603834
22592012.6138815,23092603.8261234,22194173.8002065,21229130.3746281,20280845.2810069,23474587.8630373,23968043.8613972
22592372.8604768,23092009.9408546,22194722.1760675,21229365.7246691,20280734.9825352,23473939.6400009,23968396.9692942
22592734.9315155,23091416.8603842,22195271.2360342,21229600.8759101,20280627.517292,23473294.5754496,23968751.1657877
