pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575899.1983422,23119402.8395037,22169467.9983653,21218529.2490813,20285890.0504155,23503682.2431746,23952229.6429203
22576255.6179783,23118809.8801023,22170012.369188,21218765.0765959,20285774.4677015,23503033.766548,23952578.1418724
22576611.5104622,23118216.2888521,22170559.1038371,21218998.0999617,20285660.1447974,23502385.8422879,23952927.8224794
22576968.4026715,23117619.5297046,22171107.1425175,21219233.1073957,20285545.9797996,23501735.0574132,23953279.2837619
22577324.2161276,23117025.1187091,22171651.9382974,21219469.3315858,20285431.6676573,23501087.2178379,23953628.8522488
22577681.542853,23116429.5979647,22172198.0304194,21219702.930791,20285320.2548076,23500438.0730948,23953974.9009908
22578039.8999586,23115833.7660496,22172747.2202336,21219938.4843223,20285205.6619007,23499792.1495262,23954331.4818478
22578396.2438072,23115242.0370725,22173293.0125335,21220173.3468616,20285092.7776293,23499145.5430384,23954677.8895157
22578753.9946865,23114646.4446614,22173839.6346596,21220409.3543932,20284978.6738448,23498497.1295215,23955026.4490899
22579110.4138212,23114050.9713472,22174387.8398023,21220643.0413027,20284866.955223,23497849.1379266,23955378.2651392
22579467.3463153,23113457.5167049,22174932.2016594,21220879.2054952,20284753.8449126,23497198.8921384,23955727.5933806
22579825.7203471,23112863.2157557,22175479.5269041,21221115.0595001,20284641.4531401,23496552.8536527,23956078.4636568
22580181.7507805,23112266.9094944,22176026.3189496,21221347.914653,20284526.0770588,23495901.5540201,23956428.2020408
22580541.4290724,23111675.3963468,22176574.5988693,21221585.3861275,20284415.5254422,23495253.4919612,23956782.8063607
22580899.7687574,23111080.4102884,22177120.7876914,21221820.0908872,20284300.867535,23494606.3188577,23957132.8835991
22581255.8328114,23110486.4436221,22177668.4293224,21222054.9453379,20284189.4159518,23493958.3855984,23957482.7918228
22581615.1292688,23109892.7558613,22178216.4487873,21222290.708818,20284076.6354871,23493309.6513319,23957832.5022435
22581971.8214102,23109298.2561617,22178763.7461337,21222525.816711,20283962.8422505,23492661.2902877,23958183.5864625
22582330.9682888,23108704.9799859,22179310.2521607,21222762.1345488,20283851.5844338,23492013.8771465,23958538.5697315
22582688.5671009,23108110.2328123,22179858.5912598,21222994.9470928,20283739.9966189,23491367.0896575,23958888.6847611
22583045.1625557,23107515.8643352,22180403.4754552,21223232.0076365,20283627.4866175,23490718.6528302,23959237.1414472
