carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575878.8668807,23119327.3431919,22169525.4161294,21218521.015299,20285878.033449,23503749.6945518,23952214.761397
22576235.494456,23118732.62657,22170071.6498428,21218755.8776602,20285763.9590649,23503101.219775,23952564.277535
22576592.2090436,23118137.9497877,22170617.9578978,21218990.7713861,20285649.988429,23502452.7667057,23952913.8989625
22576949.0115016,23117543.312054,22171164.3292344,21219225.7099549,20285536.1174929,23501804.3293388,23953263.6186772
22577305.8981572,23116948.7104211,22171710.7680182,21219460.6936898,20285422.3507406,23501155.9136929,23953613.4429892
22577662.8720345,23116354.1482881,22172257.2778832,21219695.714094,20285308.6868976,23500507.5195805,23953963.363434
22578019.9357265,23115759.6314163,22172803.8566584,21219930.7713977,20285195.1177183,23499859.1405857,23954313.3848292
22578377.0841825,23115165.1467618,22173350.5015796,21220165.8766365,20285081.6506161,23499210.7875493,23954663.5270769
22578734.3218025,23114570.7052057,22173897.2182585,21220401.0166147,20284968.2812974,23498562.4526039,23955013.7527282
22579091.6510558,23113976.298306,22174444.002384,21220636.19418,20284855.0206093,23497914.1316295,23955364.0826731
22579449.0605432,23113381.9324499,22174990.8517149,21220871.4115348,20284741.857622,23497265.8355479,23955714.5116747
22579806.5584211,23112787.6017765,22175537.7772314,21221106.6671453,20284628.8046824,23496617.5559936,23956065.0467534
22580164.1421957,23112193.310072,22176084.7687049,21221341.9636187,20284515.8449118,23495969.2942883,23956415.6800432
22580521.8108935,23111599.0557734,22176631.8287376,21221577.299469,20284402.9872141,23495321.0490328,23956766.4144067
22580879.56392,23111004.8448008,22177178.952968,21221812.674526,20284290.2275916,23494672.8256198,23957117.252368
22581237.4044388,23110410.6692276,22177726.1417141,21222048.089692,20284177.5674887,23494024.6241749,23957468.1913655
22581595.3337346,23109816.5364533,22178273.3999286,21222283.546808,20284065.0064357,23493376.4460389,23957819.2328529
22581953.3496021,23109222.4427696,22178820.7345839,21222519.0390402,20283952.547578,23492728.2914935,23958170.3818448
22582311.4531315,23108628.3793436,22179368.1352365,21222754.5700691,20283840.1913008,23492080.1525573,23958521.6341761
22582669.6424901,23108034.3596486,22179915.6077888,21222990.1449963,20283727.9295453,23491432.0292463,23958872.9774367
22583027.9192199,23107440.3815426,22180463.1467344,21223225.7538654,20283615.773866,23490783.9313565,23959224.4336314
22583386.285025,23106846.4481493,22181010.7528419,21223461.4042345,20283503.7209496,23490135.84787,23959575.9916005
22583744.735295,23106252.5478042,22181558.4221818,21223697.0945238,20283391.766584,23489487.7872243,23959927.6420006
22584103.2770213,23105658.6834457,22182106.164322,21223932.8242909,20283279.9185857,23488839.7476788,23960279.3995848
22584461.9035835,23105064.8610927,22182653.97763,21224168.591503,20283168.1642135,23488191.723983,23960631.2535552
22584820.611589,23104471.0784981,22183201.8520868,21224404.4033706,20283056.5128677,23487543.7249235,23960983.2187562
22585179.4130162,23103877.3278338,22183749.8036412,21224640.2531557,20282944.9625893,23486895.7454257,23961335.2836462
22585538.2934682,23103283.6180373,22184297.8202735,21224876.1398352,20282833.5113823,23486247.7756415,23961687.4455719
22585897.2619689,23102689.9506125,22184845.9090773,21225112.0696161,20282722.1637132,23485599.8320956,23962039.7068835
22586256.3228044,23102096.3210403,22185394.0612831,21225348.03719,20282610.9101525,23484951.9090963,23962392.0771033
22586615.468058,23101502.7318195,22185942.2852869,21225584.047755,20282499.7649468,23484304.007737,23962744.5425262
22586974.6956747,23100909.1831505,22186490.5780417,21225820.0937779,20282388.7204836,23483656.1200683,23963097.1138307
22587334.0094325,23100315.6708341,22187038.9404687,21226056.1808565,20282277.77491,23483008.2567041,23963449.784563
22587693.4121082,23099722.2005573,22187587.3683029,21226292.3026878,20282166.9333365,23482360.4117266,23963802.5570186
22588052.8969427,23099128.7680027,22188135.8695971,21226528.4681216,20282056.1900337,23481712.5892776,23964155.4308294
22588412.4699103,23098535.3720625,22188684.4340127,21226764.6702896,20281945.5501865,23481064.7828428,23964508.4015313
22588772.1320785,23097942.0252775,22189233.06015,21227000.9198039,20281835.0066478,23480417.0009331,23964861.4718884
22589131.8784328,23097348.7086693,22189781.7647327,21227237.203298,20281724.5599252,23479769.2376618,23965214.6556528
22589491.716904,23096755.429679,22190330.5365491,21227473.5301809,20281614.224421,23479121.4918892,23965567.932285
