carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575898.1589685,23119403.2700255,22169467.4499066,21218528.2176106,20285889.1393173,23503682.4189383,23952229.4132207
22576254.7794481,23118808.5484385,22170013.680884,21218763.0683209,20285775.0710623,23503033.9500289,23952578.941393
22576611.4810705,23118213.8662741,22170559.9737338,21218997.9587255,20285661.1062799,23502385.4969274,23952928.5680712
22576968.276409,23117619.2287283,22171106.3389353,21219232.8904033,20285547.2411457,23501737.0620787,23953278.2978719
22577325.1527615,23117024.6243604,22171652.773779,21219467.8615496,20285433.4759505,23501088.6461833,23953628.1264107
22577682.1193548,23116430.0564045,22172199.274093,21219702.8727128,20285319.8115507,23500440.2593514,23953978.0551603
22578039.1703829,23115835.533362,22172745.8473421,21219937.9253528,20285206.2541994,23499791.8861603,23954328.090376
22578396.3150435,23115241.0455664,22173292.4887965,21220173.0119995,20285092.7946598,23499143.5300524,23954678.2239167
22578753.5422519,23114646.5948253,22173839.1990901,21220408.140407,20284979.4362663,23498495.1910041,23955028.4601845
22579110.854894,23114052.1825763,22174385.9762174,21220643.3041279,20284866.1758967,23497846.8763646,23955378.8015122
22579468.2558579,23113457.8102025,22174932.8256713,21220878.5129272,20284753.0201806,23497198.5754143,23955729.2451187
22579825.7419748,23112863.4781098,22175479.7409654,21221113.7600039,20284639.9617693,23496550.3002273,23956079.7822199
22580183.3145321,23112269.1801404,22176026.720951,21221349.0517682,20284527.0102708,23495902.0420004,23956430.4234694
22580540.9739304,23111674.9245084,22176573.7674538,21221584.375022,20284414.1573988,23495253.8072764,23956781.1695809
22580898.7174701,23111080.7061691,22177120.8838479,21221819.7402051,20284301.4031148,23494605.5906098,23957132.0131406
22581256.5528242,23110486.5358769,22177668.0749077,21222055.1477316,20284188.7462012,23493957.390903,23957482.9523412
22581614.4753924,23109892.3949414,22178215.3362904,21222290.5924765,20284076.1909062,23493309.2052568,23957834.0048116
22581972.4880181,23109298.2849203,22178762.6604741,21222526.0755668,20283963.7392108,23492661.0483604,23958185.1608621
22582330.5864868,23108704.2310571,22179310.0541338,21222761.5972869,20283851.3868905,23492012.9075486,23958536.4176546
22582688.766137,23108110.2071265,22179857.5214942,21222997.1616621,20283739.1385914,23491364.7881087,23958887.767257
22583047.0291183,23107516.2263501,22180405.049017,21223232.7637748,20283626.9926637,23490716.6935397,23959239.2147371
22583405.3807275,23106922.285365,22180952.6460621,21223468.4066016,20283514.9444188,23490068.6147954,23959590.771465
22583763.8208979,23106328.3838204,22181500.307696,21223704.0880862,20283402.9961547,23489420.5584496,23959942.4338178
22584122.3518133,23105734.5215875,22182048.0455541,21223939.813369,20283291.152518,23488772.5165812,23960294.1980059
22584480.9681087,23105140.6936162,22182595.8505542,21224175.5729342,20283179.4078583,23488124.4945012,23960646.0609542
22584839.6699093,23104546.903838,22183143.7254629,21224411.3737331,20283067.7603401,23487476.4917465,23960998.029172
22585198.45176,23103953.1589504,22183691.6660357,21224647.2148829,20282956.2186551,23486828.5156516,23961350.1012965
22585557.3196623,23103359.4483602,22184239.6773532,21224883.092904,20282844.7785097,23486180.5609063,23961702.2723873
22585916.27604,23102765.7790473,22184787.7577061,21225119.0140308,20282733.4404041,23485532.6240549,23962054.5359298
22586275.3242065,23102172.145368,22185335.9029687,21225354.9728482,20282622.200519,23484884.7055786,23962406.9043724
22586634.4605421,23101578.5531685,22185884.1178432,21225590.9754569,20282511.0623193,23484236.8129177,23962759.3801783
22586993.6766023,23100984.9978765,22186432.3989051,21225827.012689,20282400.018305,23483588.9301759,23963111.9551243
22587352.9814943,23100391.48117,22186980.7526613,21226063.0917982,20282289.0784891,23482941.0718201,23963464.6240979
22587712.3743687,23099798.0053949,22187529.1771405,21226299.2074598,20282178.2366727,23482293.2304577,23963817.4055546
22588071.8485026,23099204.5659883,22188077.6622171,21226535.3615076,20282067.4978868,23481645.4103953,23964170.292357
22588431.4079553,23098611.1670206,22188626.2165891,21226771.5575584,20281956.863693,23480997.6059191,23964523.2774052
22588791.0596963,23098017.8112273,22189174.8445832,21227007.7896802,20281846.3277492,23480349.8305561,23964876.3644605
22589150.8047826,23097424.4931614,22189723.5379568,21227244.0646835,20281735.8894351,23479702.076752,23965229.535935
22589510.6349458,23096831.2213539,22190272.3007278,21227480.3750387,20281625.5525877,23479054.3382572,23965582.8215946
22589870.540311,23096237.9820173,22190821.1344381,21227716.7308261,20281515.3201296,23478406.6151842,23965936.2085297
22590230.5357246,23095644.7802565,22191370.0352154,21227953.1258668,20281405.1882567,23477758.910984,23966289.6927388
22590590.6174709,23095051.6192676,22191919.0014308,21228189.5619646,20281295.1549789,23477111.234522,23966643.2883045
22590950.7847837,23094458.5018696,22192468.0354185,21228426.0342108,20281185.2208584,23476463.5804046,23966996.9817749
22591311.0402163,23093865.4244218,22193017.1446184,21228662.5473428,20281075.3905497,23475815.9403938,23967350.778182
