pr_1,pr_2,pr_3,pr_4,pr_5,pr_6,pr_7,pr_8,pr_9,pr_10,pr_11,pr_12,pr_13,pr_14,pr_15,pr_16,pr_17,pr_18,pr_19,pr_20,pr_21,pr_22,pr_23,pr_24,pr_25,pr_26,pr_27,pr_28,pr_29,pr_30,pr_31,pr_32
21642195.014,NaN,NaN,23761278.748,NaN,NaN,21167441.938,21155242.059,23088854.649,NaN,NaN,NaN,NaN,NaN,NaN,24375294.215,NaN,NaN,NaN,NaN,20682220.08,NaN,NaN,NaN,NaN,NaN,23297533.57,NaN,NaN,NaN,NaN,NaN
21641768.652,NaN,NaN,23761987.763,NaN,NaN,21167183.714,21155765.775,23089399.052,NaN,NaN,NaN,NaN,NaN,NaN,24375785.373,NaN,NaN,NaN,NaN,20682225.498,NaN,NaN,NaN,NaN,NaN,23298277.94,NaN,NaN,NaN,NaN,NaN
21641341.807,NaN,NaN,23762695.143,NaN,NaN,21166924.596,21156291.694,23089944.995,NaN,NaN,NaN,NaN,NaN,NaN,24376275.375,NaN,NaN,NaN,NaN,20682231.065,NaN,NaN,NaN,NaN,NaN,23299022.096,NaN,NaN,NaN,NaN,NaN
21640918.408,NaN,NaN,23763401.65,NaN,NaN,21166665.534,21156818.451,23090491.235,NaN,NaN,NaN,NaN,NaN,NaN,24376766.185,NaN,NaN,NaN,NaN,20682226.528,NaN,NaN,NaN,NaN,NaN,23299765.501,NaN,NaN,NaN,NaN,NaN
21640489.377,NaN,NaN,NaN,NaN,NaN,21166404.549,21157345.622,23091036.859,NaN,NaN,NaN,NaN,NaN,NaN,24377257.282,NaN,NaN,NaN,NaN,20682231.78,NaN,NaN,NaN,NaN,NaN,23300514.657,NaN,NaN,NaN,NaN,NaN
21640059.962,NaN,NaN,NaN,NaN,NaN,21166143.572,21157872.361,23091577.48,NaN,NaN,NaN,NaN,NaN,NaN,24377747.519,NaN,NaN,NaN,NaN,20682236.195,NaN,NaN,NaN,NaN,NaN,23301258.599,NaN,NaN,NaN,NaN,NaN
21639635.813,NaN,NaN,NaN,NaN,NaN,NaN,21158402.839,23092120.675,NaN,NaN,NaN,NaN,NaN,NaN,24378237.617,NaN,NaN,NaN,NaN,20682237.137,NaN,NaN,NaN,NaN,NaN,23302003.13,NaN,NaN,NaN,NaN,NaN
21639207.2,NaN,NaN,23766233.855,NaN,NaN,NaN,21158930.599,23092660.083,NaN,NaN,NaN,NaN,NaN,NaN,24378726.224,NaN,NaN,NaN,NaN,20682236.823,NaN,NaN,NaN,NaN,NaN,23302749.03,NaN,NaN,NaN,NaN,NaN
21638779.378,NaN,NaN,23766943.363,NaN,NaN,21165357.418,21159458.686,23093202.091,NaN,NaN,NaN,NaN,NaN,NaN,24379212.033,NaN,NaN,NaN,NaN,20682239.607,NaN,NaN,NaN,NaN,NaN,23303493.544,NaN,NaN,NaN,NaN,NaN
21638355.368,NaN,NaN,23767649.185,NaN,NaN,21165096.803,21159990.32,23093759.416,NaN,NaN,NaN,NaN,NaN,NaN,24379702.943,NaN,NaN,NaN,NaN,20682239.546,NaN,NaN,NaN,NaN,NaN,23304239.881,NaN,NaN,NaN,NaN,NaN
