carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7,carrier_8,carrier_9,carrier_10,carrier_11,carrier_12,carrier_13,carrier_14,carrier_15,carrier_16,carrier_17,carrier_18,carrier_19,carrier_20,carrier_21,carrier_22,carrier_23,carrier_24,carrier_25,carrier_26,carrier_27,carrier_28,carrier_29,carrier_30,carrier_31,carrier_32,carrier_33,carrier_34,carrier_35,carrier_36,carrier_37,carrier_38,carrier_39,carrier_40,carrier_41,carrier_42,carrier_43,carrier_44,carrier_45,carrier_46,carrier_47,carrier_48,carrier_49,carrier_50,carrier_51,carrier_52,carrier_53,carrier_54,carrier_55,carrier_56,carrier_57,carrier_58,carrier_59,carrier_60,carrier_61,carrier_62,carrier_63,carrier_64,carrier_65,carrier_66,carrier_67,carrier_68,carrier_69,carrier_70,carrier_71,carrier_72,carrier_73,carrier_74,carrier_75,carrier_76,carrier_77,carrier_78,carrier_79,carrier_80,carrier_81,carrier_82,carrier_83,carrier_84,carrier_85,carrier_86,carrier_87,carrier_88,carrier_89,carrier_90,carrier_91,carrier_92,carrier_93,carrier_94,carrier_95,carrier_96,carrier_97,carrier_98,carrier_99,carrier_100,carrier_101,carrier_102,carrier_103,carrier_104,carrier_105,carrier_106,carrier_107,carrier_108,carrier_109,carrier_110,carrier_111,carrier_112,carrier_113,carrier_114,carrier_115,carrier_116,carrier_117,carrier_118,carrier_119,carrier_120,carrier_121,carrier_122,carrier_123,carrier_124,carrier_125,carrier_126,carrier_127,carrier_128,carrier_129,carrier_130,carrier_131,carrier_132,carrier_133,carrier_134,carrier_135,carrier_136,carrier_137,carrier_138,carrier_139,carrier_140,carrier_141,carrier_142,carrier_143,carrier_144,carrier_145,carrier_146,carrier_147,carrier_148,carrier_149,carrier_150,carrier_151,carrier_152,carrier_153,carrier_154,carrier_155,carrier_156,carrier_157,carrier_158
122354470.995,NaN,112218114.187,128102274.508,NaN,116741011.668,NaN,NaN,131321706.691,NaN,NaN,NaN,NaN,111853406.166,NaN,NaN,108617076.745,NaN,110962129.937,NaN,134559829.389,124901749.014,NaN,NaN,NaN,NaN,NaN,109567679.183,NaN,NaN,NaN,NaN,NaN,NaN,114390085.395,111387246.095,125932963.713,NaN,NaN,NaN,113724352.869,118536618.103,NaN,NaN,NaN,NaN,NaN,124554440.05,NaN,116893348.245,108450122.089,120055030.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140272351.013,NaN,NaN,NaN,NaN,NaN,NaN,115948293.826,123153890.934,NaN,NaN,NaN,NaN,NaN,NaN,139322246.729,NaN,NaN,NaN,NaN,135603151.365,130249882.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141160783.355,195693318.32,200907212.224,195000093.688,198135170.525,NaN,NaN,188943931.768,191643187.009,NaN,188360211.595,NaN,NaN,195401390.533,NaN,NaN,NaN,NaN,NaN,116923581.534,125296208.348,NaN,133239121.929,NaN,135460243.281,NaN,127739133.206,NaN,NaN,119371843.265,NaN,NaN,NaN,NaN,NaN,115370200.661,NaN,NaN,190817587.357,NaN,186704028.131,NaN,NaN,NaN,NaN,134569958.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224344959.167,138130413.076,NaN,194953469.407,202326125.218,NaN,NaN,NaN
122357414.393,NaN,112219843.386,128099951.395,NaN,116739123.243,NaN,NaN,131318830.809,NaN,NaN,NaN,NaN,111855792.93,NaN,NaN,108616268.251,NaN,110960070.274,NaN,134562226.137,124904835.188,NaN,NaN,NaN,NaN,NaN,109568498.656,NaN,NaN,NaN,NaN,NaN,NaN,114391179.911,111384579.632,125928558.838,NaN,NaN,NaN,113726505.021,118535502.871,NaN,NaN,NaN,NaN,NaN,124558522.438,NaN,116895289.328,108450180.83,120052816.321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140269894.881,NaN,NaN,NaN,NaN,NaN,NaN,115947949.358,123155339.395,NaN,NaN,NaN,NaN,NaN,NaN,139321828.23,NaN,NaN,NaN,NaN,135605904.309,130250268.667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141159062.526,195693318.322,200907172.978,195000056.339,198135172.297,NaN,NaN,188944843.722,191643240.014,NaN,188360569.494,NaN,NaN,195401153.787,NaN,NaN,NaN,NaN,NaN,116921896.19,125297418.257,NaN,133235736.541,NaN,135459865.435,NaN,127740887.281,NaN,NaN,119373230.181,NaN,NaN,NaN,NaN,NaN,115369406.223,NaN,NaN,190817457.531,NaN,186704520.256,NaN,NaN,NaN,NaN,134572840.307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224345927.253,138128681.179,NaN,194953475.669,202326117.605,NaN,NaN,NaN
122360357.605,NaN,112221572.959,128097628.266,NaN,116737234.868,NaN,NaN,131315954.65,NaN,NaN,NaN,NaN,111858180.002,NaN,NaN,108615459.841,NaN,110958010.659,NaN,134564622.656,124907921.387,NaN,NaN,NaN,NaN,NaN,109569318.526,NaN,NaN,NaN,NaN,NaN,NaN,114392275.056,111381913.612,125924153.741,NaN,NaN,NaN,113728657.654,118534388.277,NaN,NaN,NaN,NaN,NaN,124562604.662,NaN,116897230.343,108450239.562,120050602.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140267438.686,NaN,NaN,NaN,NaN,NaN,NaN,115947604.781,123156787.685,NaN,NaN,NaN,NaN,NaN,NaN,139321409.975,NaN,NaN,NaN,NaN,135608657.245,130250655.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141157341.576,195693318.108,200907133.537,195000018.822,198135173.887,NaN,NaN,188945755.634,191643292.849,NaN,188360927.331,NaN,NaN,195400916.885,NaN,NaN,NaN,NaN,NaN,116920211.1,125298628.497,NaN,133232351.05,NaN,135459487.899,NaN,127742641.516,NaN,NaN,119374617.077,NaN,NaN,NaN,NaN,NaN,115368611.749,NaN,NaN,190817327.57,NaN,186705012.361,NaN,NaN,NaN,NaN,134575721.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224346895.308,138126949.174,NaN,194953481.76,202326109.79,NaN,NaN,NaN
122363301.01,NaN,112223303.317,128095305.536,NaN,116735346.949,NaN,NaN,131313078.62,NaN,NaN,NaN,NaN,111860567.75,NaN,NaN,108614651.896,NaN,110955951.487,NaN,134567019.204,124911008.023,NaN,NaN,NaN,NaN,NaN,109570139.169,NaN,NaN,NaN,NaN,NaN,NaN,114393371.249,111379248.4,125919748.812,NaN,NaN,NaN,113730811.161,118533274.704,NaN,NaN,NaN,NaN,NaN,124566687.105,NaN,116899171.666,108450298.694,120048387.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140264982.839,NaN,NaN,NaN,NaN,NaN,NaN,115947260.519,123158236.209,NaN,NaN,NaN,NaN,NaN,NaN,139320992.393,NaN,NaN,NaN,NaN,135611410.591,130251043.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141155620.887,195693318.102,200907094.284,194999981.481,198135175.639,NaN,NaN,188946667.874,191643345.955,NaN,188361285.523,NaN,NaN,195400680.255,NaN,NaN,NaN,NaN,NaN,116918526.69,125299839.437,NaN,133228965.728,NaN,135459111.078,NaN,127744396.26,NaN,NaN,119376004.352,NaN,NaN,NaN,NaN,NaN,115367817.634,NaN,NaN,190817197.863,NaN,186705504.811,NaN,NaN,NaN,NaN,134578602.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224347863.715,138125217.442,NaN,194953488.033,202326102.181,NaN,NaN,NaN
122366244.225,NaN,112225034.044,128092982.78,NaN,116733459.057,NaN,NaN,131310202.285,NaN,NaN,NaN,NaN,111862955.794,NaN,NaN,108613844.017,NaN,110953892.338,NaN,134569415.5,124914094.726,NaN,NaN,NaN,NaN,NaN,109570960.209,NaN,NaN,NaN,NaN,NaN,NaN,114394468.106,111376583.64,125915343.681,NaN,NaN,NaN,113732965.171,118532161.755,NaN,NaN,NaN,NaN,NaN,124570769.391,NaN,116901112.906,108450357.795,120046173.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140262526.901,NaN,NaN,NaN,NaN,NaN,NaN,115946916.162,123159684.559,NaN,NaN,NaN,NaN,NaN,NaN,139320575.008,NaN,NaN,NaN,NaN,135614163.921,130251430.914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141153900.062,195693317.898,200907054.855,194999943.932,198135177.211,NaN,NaN,188947580.044,191643398.909,NaN,188361643.673,NaN,NaN,195400443.494,NaN,NaN,NaN,NaN,NaN,116916842.549,125301050.698,NaN,133225580.289,NaN,135458734.532,NaN,127746151.141,NaN,NaN,119377391.605,NaN,NaN,NaN,NaN,NaN,115367023.486,NaN,NaN,190817068.015,NaN,186705997.259,NaN,NaN,NaN,NaN,134581483.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224348832.08,138123485.599,NaN,194953494.087,202326094.381,NaN,NaN,NaN
122369187.536,NaN,112226765.444,128090660.316,NaN,116731571.543,NaN,NaN,131307325.934,NaN,NaN,NaN,NaN,111865344.424,NaN,NaN,108613036.529,NaN,110951833.533,NaN,134571811.79,124917181.737,NaN,NaN,NaN,NaN,NaN,109571781.925,NaN,NaN,NaN,NaN,NaN,NaN,114395565.914,111373919.681,125910938.61,NaN,NaN,NaN,113735119.955,118531049.733,NaN,NaN,NaN,NaN,NaN,124574851.716,NaN,116903054.344,108450417.217,120043959.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140260071.216,NaN,NaN,NaN,NaN,NaN,NaN,115946572.049,123161133.048,NaN,NaN,NaN,NaN,NaN,NaN,139320158.179,NaN,NaN,NaN,NaN,135616917.552,130251819.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141152179.42,195693317.778,200907015.496,194999906.492,198135178.873,NaN,NaN,188948492.463,191643451.996,NaN,188362002.067,NaN,NaN,195400206.917,NaN,NaN,NaN,NaN,NaN,116915158.982,125302262.569,NaN,133222194.967,NaN,135458358.601,NaN,127747906.447,NaN,NaN,119378779.116,NaN,NaN,NaN,NaN,NaN,115366229.614,NaN,NaN,190816938.328,NaN,186706489.947,NaN,NaN,NaN,NaN,134584364.616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224349800.717,138121753.908,NaN,194953500.238,202326086.669,NaN,NaN,NaN
122372130.653,NaN,112228497.196,128088337.846,NaN,116729684.027,NaN,NaN,131304449.299,NaN,NaN,NaN,NaN,111867733.329,NaN,NaN,108612229.071,NaN,110949774.753,NaN,134574207.769,124920268.796,NaN,NaN,NaN,NaN,NaN,109572603.982,NaN,NaN,NaN,NaN,NaN,NaN,114396664.334,111371256.189,125906533.282,NaN,NaN,NaN,113737275.162,118529938.33,NaN,NaN,NaN,NaN,NaN,124578933.859,NaN,116904995.664,108450476.581,120041745.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140257615.433,NaN,NaN,NaN,NaN,NaN,NaN,115946227.815,123162581.35,NaN,NaN,NaN,NaN,NaN,NaN,139319741.571,NaN,NaN,NaN,NaN,135619671.16,130252207.992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141150458.628,195693317.435,200906975.931,194999868.807,198135180.304,NaN,NaN,188949404.814,191643504.924,NaN,188362360.401,NaN,NaN,195399970.191,NaN,NaN,NaN,NaN,NaN,116913475.664,125303474.74,NaN,133218809.502,NaN,135457982.96,NaN,127749661.87,NaN,NaN,119380166.601,NaN,NaN,NaN,NaN,NaN,115365435.674,NaN,NaN,190816808.461,NaN,186706982.599,NaN,NaN,NaN,NaN,134587245.268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224350769.274,138120022.105,NaN,194953506.154,202326078.754,NaN,NaN,NaN
122375073.651,NaN,112230229.408,128086015.445,NaN,116727796.659,NaN,NaN,131301572.458,NaN,NaN,NaN,NaN,111870122.622,NaN,NaN,108611421.785,NaN,110947716.091,NaN,134576603.559,124923355.976,NaN,NaN,NaN,NaN,NaN,109573426.515,NaN,NaN,NaN,NaN,NaN,NaN,114397763.493,111368593.225,125902127.812,NaN,NaN,NaN,113739430.952,118528827.631,NaN,NaN,NaN,NaN,NaN,124583015.89,NaN,116906937.011,108450535.997,120039531.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140255159.689,NaN,NaN,NaN,NaN,NaN,NaN,115945883.564,123164029.565,NaN,NaN,NaN,NaN,NaN,NaN,139319325.283,NaN,NaN,NaN,NaN,135622424.84,130252597.021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141148737.775,195693316.987,200906936.239,194999831.058,198135181.657,NaN,NaN,188950317.185,191643557.782,NaN,188362718.763,NaN,NaN,195399733.392,NaN,NaN,NaN,NaN,NaN,116911792.701,125304687.325,NaN,133215423.92,NaN,135457607.682,NaN,127751417.511,NaN,NaN,119381554.158,NaN,NaN,NaN,NaN,NaN,115364641.8,NaN,NaN,190816678.558,NaN,186707475.31,NaN,NaN,NaN,NaN,134590125.768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224351737.887,138118290.26,NaN,194953511.989,202326070.726,NaN,NaN,NaN
122378016.858,NaN,112231962.384,128083693.391,NaN,116725909.715,NaN,NaN,131298695.724,NaN,NaN,NaN,NaN,111872512.569,NaN,NaN,108610614.953,NaN,110945657.852,NaN,134578999.426,124926443.573,NaN,NaN,NaN,NaN,NaN,109574249.803,NaN,NaN,NaN,NaN,NaN,NaN,114398863.694,111365931.105,125897722.518,NaN,NaN,NaN,113741587.621,118527717.944,NaN,NaN,NaN,NaN,NaN,124587098.207,NaN,116908878.68,108450595.802,120037317.381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140252704.254,NaN,NaN,NaN,NaN,NaN,NaN,115945539.598,123165478.008,NaN,NaN,NaN,NaN,NaN,NaN,139318909.641,NaN,NaN,NaN,NaN,135625178.898,130252986.717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141147017.194,195693316.725,200906896.752,194999793.461,198135183.17,NaN,NaN,188951229.886,191643610.884,NaN,188363077.439,NaN,NaN,195399496.83,NaN,NaN,NaN,NaN,NaN,116910110.389,125305900.615,NaN,133212038.558,NaN,135457233.098,NaN,127753173.678,NaN,NaN,119382942.054,NaN,NaN,NaN,NaN,NaN,115363848.278,NaN,NaN,190816548.886,NaN,186707968.373,NaN,NaN,NaN,NaN,134593006.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224352706.844,138116558.696,NaN,194953517.988,202326062.885,NaN,NaN,NaN
122380960.15,NaN,112233696.021,128081371.637,NaN,116724023.13,NaN,NaN,131295818.985,NaN,NaN,NaN,NaN,111874903.111,NaN,NaN,108609808.504,NaN,110943599.961,NaN,134581395.314,124929531.516,NaN,NaN,NaN,NaN,NaN,109575073.78,NaN,NaN,NaN,NaN,NaN,NaN,114399964.853,111363269.751,125893317.306,NaN,NaN,NaN,113743745.045,118526609.187,NaN,NaN,NaN,NaN,NaN,124591180.661,NaN,116910820.536,108450655.9,120035103.532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140250249.066,NaN,NaN,NaN,NaN,NaN,NaN,115945195.871,123166926.591,NaN,NaN,NaN,NaN,NaN,NaN,139318494.501,NaN,NaN,NaN,NaN,135627933.251,130253376.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141145296.79,195693316.554,200906857.367,194999755.969,198135184.786,NaN,NaN,188952142.78,191643664.095,NaN,188363436.37,NaN,NaN,195399260.429,NaN,NaN,NaN,NaN,NaN,116908428.65,125307114.511,NaN,133208653.362,NaN,135456859.118,NaN,127754930.267,NaN,NaN,119384330.235,NaN,NaN,NaN,NaN,NaN,115363055.009,NaN,NaN,190816419.372,NaN,186708461.72,NaN,NaN,NaN,NaN,134595886.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224353676.047,138114827.299,NaN,194953524.071,202326055.147,NaN,NaN,NaN
