dop1_1,dop1_2,dop1_3,dop1_4,dop1_5,dop1_6,dop1_7,dop1_8,dop1_9,dop1_10,dop1_11,dop1_12,dop1_13,dop1_14,dop1_15,dop1_16,dop1_17,dop1_18,dop1_19,dop1_20,dop1_21,dop1_22,dop1_23,dop1_24,dop1_25,dop1_26,dop1_27,dop1_28,dop1_29,dop1_30,dop1_31,dop1_32,dop1_33,dop1_34,dop1_35,dop1_36,dop1_37,dop1_38,dop1_39,dop1_40,dop1_41,dop1_42,dop1_43,dop1_44,dop1_45,dop1_46,dop1_47,dop1_48,dop1_49,dop1_50,dop1_51,dop1_52,dop1_53,dop1_54,dop1_55,dop1_56,dop1_57,dop1_58,dop1_59,dop1_60,dop1_61,dop1_62,dop1_63,dop1_64,dop1_65,dop1_66,dop1_67,dop1_68,dop1_69,dop1_70,dop1_71,dop1_72,dop1_73,dop1_74,dop1_75,dop1_76,dop1_77,dop1_78,dop1_79,dop1_80,dop1_81,dop1_82,dop1_83,dop1_84,dop1_85,dop1_86,dop1_87,dop1_88,dop1_89,dop1_90,dop1_91,dop1_92,dop1_93,dop1_94,dop1_95,dop1_96,dop1_97,dop1_98,dop1_99,dop1_100,dop1_101,dop1_102,dop1_103,dop1_104,dop1_105,dop1_106,dop1_107,dop1_108,dop1_109,dop1_110,dop1_111,dop1_112,dop1_113,dop1_114,dop1_115,dop1_116,dop1_117,dop1_118,dop1_119,dop1_120,dop1_121,dop1_122,dop1_123,dop1_124,dop1_125,dop1_126,dop1_127,dop1_128,dop1_129,dop1_130,dop1_131,dop1_132,dop1_133,dop1_134,dop1_135,dop1_136,dop1_137,dop1_138,dop1_139,dop1_140,dop1_141,dop1_142,dop1_143,dop1_144,dop1_145,dop1_146,dop1_147,dop1_148,dop1_149,dop1_150,dop1_151,dop1_152,dop1_153,dop1_154,dop1_155,dop1_156,dop1_157,dop1_158
-2943.493,NaN,-1728.96,2323.145,NaN,1888.431,NaN,NaN,2876.002,NaN,NaN,NaN,NaN,-2386.546,NaN,NaN,808.616,NaN,2059.754,NaN,-2397.019,-3085.784,NaN,NaN,NaN,NaN,NaN,-819.287,NaN,NaN,NaN,NaN,NaN,NaN,-1094.06,2666.839,4404.739,NaN,NaN,NaN,-2151.817,1115.713,NaN,NaN,NaN,NaN,NaN,-4082.675,NaN,-1941.035,-58.617,2213.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2456.083,NaN,NaN,NaN,NaN,NaN,NaN,344.774,-1448.506,NaN,NaN,NaN,NaN,NaN,NaN,418.346,NaN,NaN,NaN,NaN,-2752.882,-386.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.868,-0.115,39,37.524,-1.743,NaN,NaN,-912.001,-53.126,NaN,-357.836,NaN,NaN,236.609,NaN,NaN,NaN,NaN,NaN,1685.528,-1209.702,NaN,3385.363,NaN,378.013,NaN,-1753.872,NaN,NaN,-1386.827,NaN,NaN,NaN,NaN,NaN,794.557,NaN,NaN,129.817,NaN,-492.088,NaN,NaN,NaN,NaN,-2881.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-967.994,1731.741,NaN,-6.413,7.461,NaN,NaN,NaN
-2943.223,NaN,-1729.553,2322.782,NaN,1888.173,NaN,NaN,2876.12,NaN,NaN,NaN,NaN,-2387.037,NaN,NaN,808.331,NaN,2059.384,NaN,-2396.662,-3086.562,NaN,NaN,NaN,NaN,NaN,-819.756,NaN,NaN,NaN,NaN,NaN,NaN,-1095.079,2666.079,4404.817,NaN,NaN,NaN,-2152.561,1114.826,NaN,NaN,NaN,NaN,NaN,-4082.907,NaN,-1941.304,-58.878,2213.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2455.9,NaN,NaN,NaN,NaN,NaN,NaN,344.315,-1448.657,NaN,NaN,NaN,NaN,NaN,NaN,418.127,NaN,NaN,NaN,NaN,-2753.155,-386.921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.658,-0.168,39.19,37.339,-1.814,NaN,NaN,-912.15,-53.162,NaN,-358.128,NaN,NaN,236.71,NaN,NaN,NaN,NaN,NaN,1684.802,-1210.294,NaN,3385.32,NaN,377.453,NaN,-1754.264,NaN,NaN,-1387.098,NaN,NaN,NaN,NaN,NaN,794.268,NaN,NaN,129.745,NaN,-492.285,NaN,NaN,NaN,NaN,-2881.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.245,1731.746,NaN,-6.314,7.386,NaN,NaN,NaN
-2943.498,NaN,-1730.198,2322.645,NaN,1887.999,NaN,NaN,2875.991,NaN,NaN,NaN,NaN,-2387.671,NaN,NaN,807.812,NaN,2059.107,NaN,-2397.007,-3086.783,NaN,NaN,NaN,NaN,NaN,-820.607,NaN,NaN,NaN,NaN,NaN,NaN,-1095.982,2665.372,4404.585,NaN,NaN,NaN,-2153.408,1113.825,NaN,NaN,NaN,NaN,NaN,-4083.12,NaN,-1941.486,-59.403,2213.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2455.828,NaN,NaN,NaN,NaN,NaN,NaN,344.085,-1448.681,NaN,NaN,NaN,NaN,NaN,NaN,417.613,NaN,NaN,NaN,NaN,-2753.256,-387.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.587,-0.124,39.09,37.006,-2.136,NaN,NaN,-912.27,-53.106,NaN,-358.119,NaN,NaN,236.53,NaN,NaN,NaN,NaN,NaN,1684.495,-1210.888,NaN,3384.832,NaN,377.015,NaN,-1754.821,NaN,NaN,-1387.178,NaN,NaN,NaN,NaN,NaN,794.056,NaN,NaN,129.523,NaN,-492.631,NaN,NaN,NaN,NaN,-2881.694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.576,1731.665,NaN,-6.452,7.536,NaN,NaN,NaN
-2943.077,NaN,-1730.418,2322.713,NaN,1888.083,NaN,NaN,2876.211,NaN,NaN,NaN,NaN,-2387.672,NaN,NaN,808.056,NaN,2059.315,NaN,-2396.244,-3086.446,NaN,NaN,NaN,NaN,NaN,-820.758,NaN,NaN,NaN,NaN,NaN,NaN,-1096.365,2665.236,4405.495,NaN,NaN,NaN,-2153.502,1113.508,NaN,NaN,NaN,NaN,NaN,-4082.623,NaN,-1940.884,-58.855,2214.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2456.024,NaN,NaN,NaN,NaN,NaN,NaN,344.35,-1448.301,NaN,NaN,NaN,NaN,NaN,NaN,417.685,NaN,NaN,NaN,NaN,-2753.135,-387.489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.934,0.229,39.747,37.692,-1.401,NaN,NaN,-911.981,-52.951,NaN,-357.939,NaN,NaN,236.767,NaN,NaN,NaN,NaN,NaN,1684.606,-1210.891,NaN,3385.721,NaN,376.87,NaN,-1754.709,NaN,NaN,-1387.094,NaN,NaN,NaN,NaN,NaN,794.395,NaN,NaN,129.847,NaN,-492.276,NaN,NaN,NaN,NaN,-2880.948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.159,1731.929,NaN,-6.111,7.91,NaN,NaN,NaN
-2943.749,NaN,-1731.476,2322.202,NaN,1887.349,NaN,NaN,2875.814,NaN,NaN,NaN,NaN,-2388.685,NaN,NaN,807.363,NaN,2058.639,NaN,-2396.603,-3087.273,NaN,NaN,NaN,NaN,NaN,-821.825,NaN,NaN,NaN,NaN,NaN,NaN,-1097.651,2663.977,4404.739,NaN,NaN,NaN,-2154.915,1112.07,NaN,NaN,NaN,NaN,NaN,-4083.26,NaN,-1941.612,-59.469,2213.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2455.612,NaN,NaN,NaN,NaN,NaN,NaN,344.049,-1448.802,NaN,NaN,NaN,NaN,NaN,NaN,417.027,NaN,NaN,NaN,NaN,-2753.844,-388.424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.365,-0.351,39.11,37.053,-2.085,NaN,NaN,-912.631,-53.463,NaN,-358.754,NaN,NaN,236.295,NaN,NaN,NaN,NaN,NaN,1683.584,-1211.903,NaN,3385.007,NaN,375.914,NaN,-1755.599,NaN,NaN,-1387.794,NaN,NaN,NaN,NaN,NaN,793.645,NaN,NaN,129.427,NaN,-493.116,NaN,NaN,NaN,NaN,-2881.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.974,1731.395,NaN,-6.364,7.363,NaN,NaN,NaN
-2943.491,NaN,-1731.909,2322.234,NaN,1887.171,NaN,NaN,2876.502,NaN,NaN,NaN,NaN,-2388.918,NaN,NaN,807.087,NaN,2058.721,NaN,-2396.13,-3087.226,NaN,NaN,NaN,NaN,NaN,-822.12,NaN,NaN,NaN,NaN,NaN,NaN,-1098.298,2663.565,4405.139,NaN,NaN,NaN,-2155.396,1111.411,NaN,NaN,NaN,NaN,NaN,-4082.477,NaN,-1941.61,-59.568,2213.989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2455.583,NaN,NaN,NaN,NaN,NaN,NaN,343.942,-1448.662,NaN,NaN,NaN,NaN,NaN,NaN,416.611,NaN,NaN,NaN,NaN,-2753.94,-388.906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.405,0.078,39.292,37.377,-1.693,NaN,NaN,-912.598,-53.168,NaN,-358.697,NaN,NaN,236.543,NaN,NaN,NaN,NaN,NaN,1683.247,-1212.261,NaN,3385.215,NaN,375.48,NaN,-1755.691,NaN,NaN,-1387.756,NaN,NaN,NaN,NaN,NaN,793.579,NaN,NaN,129.457,NaN,-492.896,NaN,NaN,NaN,NaN,-2881.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.879,1731.564,NaN,-6.337,7.61,NaN,NaN,NaN
-2942.824,NaN,-1731.735,2322.667,NaN,1887.806,NaN,NaN,2877.189,NaN,NaN,NaN,NaN,-2388.881,NaN,NaN,807.676,NaN,2059.023,NaN,-2395.091,-3086.755,NaN,NaN,NaN,NaN,NaN,-821.985,NaN,NaN,NaN,NaN,NaN,NaN,-1098.421,2663.516,4405.785,NaN,NaN,NaN,-2155.174,1111.259,NaN,NaN,NaN,NaN,NaN,-4081.797,NaN,-1940.938,-59.109,2214.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2456.107,NaN,NaN,NaN,NaN,NaN,NaN,344.341,-1447.99,NaN,NaN,NaN,NaN,NaN,NaN,416.721,NaN,NaN,NaN,NaN,-2753.406,-388.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1721.1,0.938,40.02,38.213,-0.946,NaN,NaN,-912.158,-52.863,NaN,-358.012,NaN,NaN,237.155,NaN,NaN,NaN,NaN,NaN,1683.396,-1212.017,NaN,3385.501,NaN,375.513,NaN,-1755.272,NaN,NaN,-1387.184,NaN,NaN,NaN,NaN,NaN,794.232,NaN,NaN,130.215,NaN,-492.476,NaN,NaN,NaN,NaN,-2880.209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.23,1732.188,NaN,-5.427,8.304,NaN,NaN,NaN
-2943.222,NaN,-1732.632,2321.833,NaN,1887.071,NaN,NaN,2876.786,NaN,NaN,NaN,NaN,-2389.67,NaN,NaN,807.085,NaN,2058.478,NaN,-2395.875,-3087.453,NaN,NaN,NaN,NaN,NaN,-822.939,NaN,NaN,NaN,NaN,NaN,NaN,-1099.659,2662.528,4405.436,NaN,NaN,NaN,-2156.2,1110.049,NaN,NaN,NaN,NaN,NaN,-4081.661,NaN,-1941.483,-59.785,2214.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2455.655,NaN,NaN,NaN,NaN,NaN,NaN,343.864,-1448.267,NaN,NaN,NaN,NaN,NaN,NaN,415.862,NaN,NaN,NaN,NaN,-2753.969,-389.368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.894,0.422,39.796,37.42,-1.468,NaN,NaN,-912.412,-53.018,NaN,-358.504,NaN,NaN,236.669,NaN,NaN,NaN,NaN,NaN,1682.595,-1212.822,NaN,3385.26,NaN,374.931,NaN,-1755.889,NaN,NaN,-1387.839,NaN,NaN,NaN,NaN,NaN,793.599,NaN,NaN,129.781,NaN,-492.781,NaN,NaN,NaN,NaN,-2880.633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-968.765,1731.711,NaN,-5.986,7.936,NaN,NaN,NaN
-2943.704,NaN,-1733.56,2321.636,NaN,1886.665,NaN,NaN,2876.537,NaN,NaN,NaN,NaN,-2390.464,NaN,NaN,806.391,NaN,2057.883,NaN,-2395.89,-3087.996,NaN,NaN,NaN,NaN,NaN,-823.818,NaN,NaN,NaN,NaN,NaN,NaN,-1100.88,2661.394,4405.041,NaN,NaN,NaN,-2157.37,1109.025,NaN,NaN,NaN,NaN,NaN,-4082.905,NaN,-1942.091,-60.164,2213.552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2455.198,NaN,NaN,NaN,NaN,NaN,NaN,343.74,-1448.663,NaN,NaN,NaN,NaN,NaN,NaN,414.915,NaN,NaN,NaN,NaN,-2754.327,-390.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.391,0.046,39.203,37.399,-1.668,NaN,NaN,-913.05,-53.382,NaN,-359.058,NaN,NaN,236.209,NaN,NaN,NaN,NaN,NaN,1681.806,-1213.879,NaN,3385.139,NaN,374.145,NaN,-1756.679,NaN,NaN,-1388.177,NaN,NaN,NaN,NaN,NaN,793.124,NaN,NaN,129.376,NaN,-493.346,NaN,NaN,NaN,NaN,-2880.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-969.39,1731.272,NaN,-6.314,7.629,NaN,NaN,NaN
-2943.404,NaN,-1734.087,2321.586,NaN,1886.256,NaN,NaN,2876.766,NaN,NaN,NaN,NaN,-2390.885,NaN,NaN,806.17,NaN,2057.585,NaN,-2396.203,-3088.128,NaN,NaN,NaN,NaN,NaN,-824.344,NaN,NaN,NaN,NaN,NaN,NaN,-1101.723,2660.803,4405.058,NaN,NaN,NaN,-2157.791,1108.074,NaN,NaN,NaN,NaN,NaN,-4082.351,NaN,-1942.07,-60.464,2213.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2454.962,NaN,NaN,NaN,NaN,NaN,NaN,343.591,-1448.852,NaN,NaN,NaN,NaN,NaN,NaN,414.652,NaN,NaN,NaN,NaN,-2754.719,-390.728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1720.149,-0.011,38.827,37.395,-1.734,NaN,NaN,-912.868,-53.305,NaN,-359.292,NaN,NaN,236.268,NaN,NaN,NaN,NaN,NaN,1681.259,-1214.352,NaN,3384.786,NaN,373.796,NaN,-1756.839,NaN,NaN,-1388.39,NaN,NaN,NaN,NaN,NaN,792.975,NaN,NaN,129.274,NaN,-493.718,NaN,NaN,NaN,NaN,-2880.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-969.564,1731.147,NaN,-6.114,7.626,NaN,NaN,NaN
