carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7,carrier_8,carrier_9,carrier_10,carrier_11,carrier_12,carrier_13,carrier_14,carrier_15,carrier_16,carrier_17,carrier_18,carrier_19,carrier_20,carrier_21,carrier_22,carrier_23,carrier_24,carrier_25,carrier_26,carrier_27,carrier_28,carrier_29,carrier_30,carrier_31,carrier_32,carrier_33,carrier_34,carrier_35,carrier_36,carrier_37,carrier_38,carrier_39,carrier_40,carrier_41,carrier_42,carrier_43,carrier_44,carrier_45,carrier_46,carrier_47,carrier_48,carrier_49,carrier_50,carrier_51,carrier_52,carrier_53,carrier_54,carrier_55,carrier_56,carrier_57,carrier_58,carrier_59,carrier_60,carrier_61,carrier_62,carrier_63,carrier_64,carrier_65,carrier_66,carrier_67,carrier_68,carrier_69,carrier_70,carrier_71,carrier_72,carrier_73,carrier_74,carrier_75,carrier_76,carrier_77,carrier_78,carrier_79,carrier_80,carrier_81,carrier_82,carrier_83,carrier_84,carrier_85,carrier_86,carrier_87,carrier_88,carrier_89,carrier_90,carrier_91,carrier_92,carrier_93,carrier_94,carrier_95,carrier_96,carrier_97,carrier_98,carrier_99,carrier_100,carrier_101,carrier_102,carrier_103,carrier_104,carrier_105,carrier_106,carrier_107,carrier_108,carrier_109,carrier_110,carrier_111,carrier_112,carrier_113,carrier_114,carrier_115,carrier_116,carrier_117,carrier_118,carrier_119,carrier_120,carrier_121,carrier_122,carrier_123,carrier_124,carrier_125,carrier_126,carrier_127,carrier_128,carrier_129,carrier_130,carrier_131,carrier_132,carrier_133,carrier_134,carrier_135,carrier_136,carrier_137,carrier_138,carrier_139,carrier_140,carrier_141,carrier_142,carrier_143,carrier_144,carrier_145,carrier_146,carrier_147,carrier_148,carrier_149,carrier_150,carrier_151,carrier_152,carrier_153,carrier_154,carrier_155,carrier_156,carrier_157,carrier_158
122354432.241,NaN,112218086.799,128102281.779,NaN,116741031.705,NaN,NaN,131321717.733,NaN,NaN,NaN,NaN,111853451.317,NaN,NaN,108617057.937,NaN,110962114.844,NaN,134559791.801,124901705.502,NaN,NaN,NaN,NaN,NaN,109567713.613,NaN,NaN,NaN,NaN,NaN,NaN,114390053.046,111387263.373,125933030.746,NaN,NaN,NaN,113724384.939,118536605.088,NaN,NaN,NaN,NaN,NaN,124554494.854,NaN,116893311.062,108450091.132,120055027.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142887579.814,NaN,140272378.471,NaN,NaN,NaN,NaN,NaN,NaN,115948283.209,123153857.953,NaN,NaN,NaN,NaN,NaN,NaN,139322210.664,NaN,NaN,NaN,NaN,135603207.702,130249895.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141160808.386,195693353.618,NaN,195000146.426,198135197.322,NaN,NaN,188943968.145,191643194.621,NaN,188360235.969,NaN,NaN,195401418.349,NaN,NaN,NaN,NaN,NaN,116923604.775,125296173.331,NaN,133239179.572,NaN,NaN,NaN,127739167.644,NaN,NaN,119371823.961,NaN,NaN,NaN,NaN,NaN,115370185.817,NaN,NaN,190817603.675,NaN,186704048.869,NaN,NaN,NaN,131066615.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224344989.63,138130400.229,NaN,194953506.155,202326165.303,NaN,NaN,NaN
122357375.2,NaN,112219815.558,128099958.216,NaN,116739142.837,NaN,NaN,131318841.409,NaN,NaN,NaN,NaN,111855837.661,NaN,NaN,108616249.004,NaN,110960054.73,NaN,134562188.134,124904791.214,NaN,NaN,NaN,NaN,NaN,109568532.655,NaN,NaN,NaN,NaN,NaN,NaN,114391147.103,111384596.449,125928625.417,NaN,NaN,NaN,113726536.656,118535489.424,NaN,NaN,NaN,NaN,NaN,124558576.774,NaN,116895251.701,108450149.451,120052813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142885603.904,NaN,140269921.895,NaN,NaN,NaN,NaN,NaN,NaN,115947938.298,123155305.978,NaN,NaN,NaN,NaN,NaN,NaN,139321791.73,NaN,NaN,NaN,NaN,135605960.218,130250282.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141159087.118,195693353.173,NaN,195000108.649,198135198.645,NaN,NaN,188944879.673,191643247.183,NaN,188360593.443,NaN,NaN,195401181.164,NaN,NaN,NaN,NaN,NaN,116921918.984,125297382.801,NaN,133235793.762,NaN,NaN,NaN,127740921.302,NaN,NaN,119373210.445,NaN,NaN,NaN,NaN,NaN,115369390.938,NaN,NaN,190817473.411,NaN,186704540.562,NaN,NaN,NaN,131064296.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224345957.284,138128667.903,NaN,194953511.999,202326157.251,NaN,NaN,NaN
122360318.068,NaN,112221544.788,128097634.761,NaN,116737254.122,NaN,NaN,131315964.917,NaN,NaN,NaN,NaN,111858224.394,NaN,NaN,108615440.268,NaN,110957994.785,NaN,134564584.257,124907877.077,NaN,NaN,NaN,NaN,NaN,109569352.205,NaN,NaN,NaN,NaN,NaN,NaN,114392241.916,111381930.077,125924219.973,NaN,NaN,NaN,113728688.96,118534374.474,NaN,NaN,NaN,NaN,NaN,124562658.639,NaN,116897192.39,108450207.828,120050598.383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142883628.28,NaN,140267465.363,NaN,NaN,NaN,NaN,NaN,NaN,115947593.395,123156753.936,NaN,NaN,NaN,NaN,NaN,NaN,139321373.15,NaN,NaN,NaN,NaN,135608712.829,130250668.599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141157365.822,195693352.645,NaN,195000070.784,198135199.884,NaN,NaN,188945791.262,191643299.699,NaN,188360950.959,NaN,NaN,195400943.921,NaN,NaN,NaN,NaN,NaN,116920233.569,125298592.687,NaN,133232407.902,NaN,NaN,NaN,127742675.197,NaN,NaN,119374597.024,NaN,NaN,NaN,NaN,NaN,115368596.132,NaN,NaN,190817343.118,NaN,186705032.337,NaN,NaN,NaN,131061978.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224346925.023,138126935.564,NaN,194953517.744,202326149.121,NaN,NaN,NaN
122363261.06,NaN,112223274.71,128095311.597,NaN,116735365.771,NaN,NaN,131313088.441,NaN,NaN,NaN,NaN,111860611.739,NaN,NaN,108614631.889,NaN,110955935.186,NaN,134566980.412,124910963.284,NaN,NaN,NaN,NaN,NaN,109570172.429,NaN,NaN,NaN,NaN,NaN,NaN,114393337.675,111379264.421,125919814.634,NaN,NaN,NaN,113730842.046,118533260.471,NaN,NaN,NaN,NaN,NaN,124566740.655,NaN,116899133.315,108450266.535,120048383.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142881653.087,NaN,140265009.083,NaN,NaN,NaN,NaN,NaN,NaN,115947248.699,123158202.042,NaN,NaN,NaN,NaN,NaN,NaN,139320955.132,NaN,NaN,NaN,NaN,135611465.758,130251055.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141155644.718,195693352.219,NaN,195000033.027,198135201.24,NaN,NaN,188946703.082,191643352.385,NaN,188361308.72,NaN,NaN,195400706.863,NaN,NaN,NaN,NaN,NaN,116918548.73,125299803.209,NaN,133229022.192,NaN,NaN,NaN,127744429.516,NaN,NaN,119375983.879,NaN,NaN,NaN,NaN,NaN,115367801.598,NaN,NaN,190817212.99,NaN,186705524.38,NaN,NaN,NaN,131059659.748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224347893.024,138125203.413,NaN,194953523.588,202326141.103,NaN,NaN,NaN
122366203.917,NaN,112225005.075,128092988.475,NaN,116733477.532,NaN,NaN,131310211.741,NaN,NaN,NaN,NaN,111862999.428,NaN,NaN,108613823.663,NaN,110953875.682,NaN,134569376.373,124914049.62,NaN,NaN,NaN,NaN,NaN,109570993.109,NaN,NaN,NaN,NaN,NaN,NaN,114394434.165,111376599.293,125915409.127,NaN,NaN,NaN,113732995.697,118532147.171,NaN,NaN,NaN,NaN,NaN,124570822.608,NaN,116901074.196,108450325.272,120046169.359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142879679.082,NaN,140262552.809,NaN,NaN,NaN,NaN,NaN,NaN,115946903.985,123159650.04,NaN,NaN,NaN,NaN,NaN,NaN,139320537.402,NaN,NaN,NaN,NaN,135614218.737,130251443.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141153923.536,195693351.659,NaN,194999995.128,198135202.47,NaN,NaN,188947614.907,191643404.963,NaN,188361666.526,NaN,NaN,195400469.759,NaN,NaN,NaN,NaN,NaN,116916864.233,125301014.113,NaN,133225636.388,NaN,NaN,NaN,127746184.062,NaN,NaN,119377370.771,NaN,NaN,NaN,NaN,NaN,115367007.093,NaN,NaN,190817082.791,NaN,186706016.47,NaN,NaN,NaN,131057341.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224348861.034,138123471.212,NaN,194953529.305,202326132.927,NaN,NaN,NaN
122369146.888,NaN,112226736.108,128090665.655,NaN,116731589.638,NaN,NaN,131307335.067,NaN,NaN,NaN,NaN,111865387.719,NaN,NaN,108613015.81,NaN,110951816.526,NaN,134571772.328,124917136.291,NaN,NaN,NaN,NaN,NaN,109571814.471,NaN,NaN,NaN,NaN,NaN,NaN,114395531.616,111373934.971,125911003.703,NaN,NaN,NaN,113735150.127,118531034.803,NaN,NaN,NaN,NaN,NaN,124574904.664,NaN,116903015.28,108450384.339,120043954.961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142877704.54,NaN,140260096.761,NaN,NaN,NaN,NaN,NaN,NaN,115946559.516,123161098.171,NaN,NaN,NaN,NaN,NaN,NaN,139320120.209,NaN,NaN,NaN,NaN,135616972.012,130251831.273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141152202.545,195693351.198,NaN,194999957.343,198135203.781,NaN,NaN,188948526.994,191643457.709,NaN,188362024.58,NaN,NaN,195400232.837,NaN,NaN,NaN,NaN,NaN,116915180.299,125302225.637,NaN,133222250.72,NaN,NaN,NaN,127747939.017,NaN,NaN,119378757.95,NaN,NaN,NaN,NaN,NaN,115366212.865,NaN,NaN,190816952.748,NaN,186706508.827,NaN,NaN,NaN,131055022.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224349829.323,138121739.181,NaN,194953535.11,202326124.878,NaN,NaN,NaN
122372089.966,NaN,112228467.818,128088343.131,NaN,116729702.094,NaN,NaN,131304458.374,NaN,NaN,NaN,NaN,111867776.584,NaN,NaN,108612208.33,NaN,110949757.712,NaN,134574168.289,124920223.303,NaN,NaN,NaN,NaN,NaN,109572636.517,NaN,NaN,NaN,NaN,NaN,NaN,114396629.994,111371271.419,125906598.33,NaN,NaN,NaN,113737305.31,118529923.369,NaN,NaN,NaN,NaN,NaN,124578986.79,NaN,116904956.58,108450443.629,120041740.706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142875730.43,NaN,140257640.936,NaN,NaN,NaN,NaN,NaN,NaN,115946215.236,123162546.427,NaN,NaN,NaN,NaN,NaN,NaN,139319703.557,NaN,NaN,NaN,NaN,135619725.584,130252219.906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141150481.68,195693350.822,NaN,194999919.634,198135205.197,NaN,NaN,188949439.307,191643510.6,NaN,188362382.871,NaN,NaN,195399996.075,NaN,NaN,NaN,NaN,NaN,116913496.926,125303437.762,NaN,133218865.205,NaN,NaN,NaN,127749694.424,NaN,NaN,119380145.402,NaN,NaN,NaN,NaN,NaN,115365418.892,NaN,NaN,190816822.852,NaN,186707001.445,NaN,NaN,NaN,131052704.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224350797.841,138120007.338,NaN,194953541.008,202326116.929,NaN,NaN,NaN
122375033.007,NaN,112230200.064,128086020.761,NaN,116727814.745,NaN,NaN,131301581.564,NaN,NaN,NaN,NaN,111870165.908,NaN,NaN,108611401.082,NaN,110947699.08,NaN,134576564.07,124923310.536,NaN,NaN,NaN,NaN,NaN,109573459.088,NaN,NaN,NaN,NaN,NaN,NaN,114397729.183,111368608.483,125902192.902,NaN,NaN,NaN,113739461.145,118528812.709,NaN,NaN,NaN,NaN,NaN,124583068.867,NaN,116906897.966,108450503.112,120039526.497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142873756.654,NaN,140255185.212,NaN,NaN,NaN,NaN,NaN,NaN,115945871.017,123163994.689,NaN,NaN,NaN,NaN,NaN,NaN,139319287.298,NaN,NaN,NaN,NaN,135622479.311,130252608.986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141148760.875,195693350.419,NaN,194999881.902,198135206.556,NaN,NaN,188950351.733,191643563.499,NaN,188362741.29,NaN,NaN,195399759.302,NaN,NaN,NaN,NaN,NaN,116911813.996,125304650.377,NaN,133215479.67,NaN,NaN,NaN,127751450.103,NaN,NaN,119381532.983,NaN,NaN,NaN,NaN,NaN,115364625.055,NaN,NaN,190816692.972,NaN,186707494.206,NaN,NaN,NaN,131050386.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224351766.494,138118275.538,NaN,194953546.87,202326108.936,NaN,NaN,NaN
122377976.203,NaN,112231933.028,128083698.723,NaN,116725927.797,NaN,NaN,131298704.819,NaN,NaN,NaN,NaN,111872555.865,NaN,NaN,108610594.246,NaN,110945640.834,NaN,134578959.99,124926398.124,NaN,NaN,NaN,NaN,NaN,109574282.389,NaN,NaN,NaN,NaN,NaN,NaN,114398829.382,111365946.356,125897787.589,NaN,NaN,NaN,113741617.817,118527703.041,NaN,NaN,NaN,NaN,NaN,124587151.126,NaN,116908839.622,108450562.899,120037312.516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142871783.322,NaN,140252729.784,NaN,NaN,NaN,NaN,NaN,NaN,115945527.046,123165443.134,NaN,NaN,NaN,NaN,NaN,NaN,139318871.628,NaN,NaN,NaN,NaN,135625233.374,130252998.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141147040.276,195693350.144,NaN,194999844.315,198135208.07,NaN,NaN,188951264.414,191643616.588,NaN,188363099.965,NaN,NaN,195399522.738,NaN,NaN,NaN,NaN,NaN,116910131.684,125305863.643,NaN,133212094.325,NaN,NaN,NaN,127753206.28,NaN,NaN,119382920.894,NaN,NaN,NaN,NaN,NaN,115363831.516,NaN,NaN,190816563.289,NaN,186707987.266,NaN,NaN,NaN,131048067.844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224352735.452,138116543.953,NaN,194953552.873,202326101.103,NaN,NaN,NaN
122380919.317,NaN,112233666.462,128081376.792,NaN,116724041.002,NaN,NaN,131295827.877,NaN,NaN,NaN,NaN,111874946.215,NaN,NaN,108609787.594,NaN,110943582.746,NaN,134581355.659,124929485.859,NaN,NaN,NaN,NaN,NaN,109575106.171,NaN,NaN,NaN,NaN,NaN,NaN,114399930.33,111363284.784,125893382.169,NaN,NaN,NaN,113743775.058,118526594.085,NaN,NaN,NaN,NaN,NaN,124591233.32,NaN,116910781.289,108450622.793,120035098.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142869810.235,NaN,140250274.383,NaN,NaN,NaN,NaN,NaN,NaN,115945183.111,123166891.514,NaN,NaN,NaN,NaN,NaN,NaN,139318456.302,NaN,NaN,NaN,NaN,135627987.527,130253388.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141145319.665,195693349.775,NaN,194999806.624,198135209.517,NaN,NaN,188952177.139,191643669.613,NaN,188363458.691,NaN,NaN,195399286.122,NaN,NaN,NaN,NaN,NaN,116908449.732,125307077.339,NaN,133208708.932,NaN,NaN,NaN,127754962.674,NaN,NaN,119384308.888,NaN,NaN,NaN,NaN,NaN,115363038.057,NaN,NaN,190816433.578,NaN,186708480.406,NaN,NaN,NaN,131045749.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224353704.464,138114812.348,NaN,194953558.761,202326093.16,NaN,NaN,NaN
