SVpos_x_1,SVpos_y_1,SVpos_z_1,SVpos_x_2,SVpos_y_2,SVpos_z_2,SVpos_x_3,SVpos_y_3,SVpos_z_3,SVpos_x_4,SVpos_y_4,SVpos_z_4,SVpos_x_5,SVpos_y_5,SVpos_z_5,SVpos_x_6,SVpos_y_6,SVpos_z_6,SVpos_x_7,SVpos_y_7,SVpos_z_7,SVpos_x_8,SVpos_y_8,SVpos_z_8,SVpos_x_9,SVpos_y_9,SVpos_z_9,SVpos_x_10,SVpos_y_10,SVpos_z_10,SVpos_x_11,SVpos_y_11,SVpos_z_11,SVpos_x_12,SVpos_y_12,SVpos_z_12,SVpos_x_13,SVpos_y_13,SVpos_z_13,SVpos_x_14,SVpos_y_14,SVpos_z_14,SVpos_x_15,SVpos_y_15,SVpos_z_15,SVpos_x_16,SVpos_y_16,SVpos_z_16,SVpos_x_17,SVpos_y_17,SVpos_z_17,SVpos_x_18,SVpos_y_18,SVpos_z_18,SVpos_x_19,SVpos_y_19,SVpos_z_19,SVpos_x_20,SVpos_y_20,SVpos_z_20,SVpos_x_21,SVpos_y_21,SVpos_z_21,SVpos_x_22,SVpos_y_22,SVpos_z_22,SVpos_x_23,SVpos_y_23,SVpos_z_23,SVpos_x_24,SVpos_y_24,SVpos_z_24,SVpos_x_25,SVpos_y_25,SVpos_z_25,SVpos_x_26,SVpos_y_26,SVpos_z_26,SVpos_x_27,SVpos_y_27,SVpos_z_27,SVpos_x_28,SVpos_y_28,SVpos_z_28,SVpos_x_29,SVpos_y_29,SVpos_z_29,SVpos_x_30,SVpos_y_30,SVpos_z_30,SVpos_x_31,SVpos_y_31,SVpos_z_31,SVpos_x_32,SVpos_y_32,SVpos_z_32
-13074180.8848862,21957377.3422528,-6789255.84791602,NaN,NaN,NaN,NaN,NaN,NaN,-3215296.06056907,22271945.8441254,-14056645.5399809,NaN,NaN,NaN,NaN,NaN,NaN,-820646.645826974,20031140.522414,17520427.9028153,-9191423.69944671,14721815.7102033,20005004.0885867,6131339.01210799,25440857.93425,-4533441.68963891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24780134.7815234,118892.127295216,9918003.44085976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006175.1998474,19941668.6275119,2793953.52187416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14755604.5043827,2522550.01219098,21785595.2634232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13074893.3775621,21957863.0337248,-6786162.11651323,NaN,NaN,NaN,NaN,NaN,NaN,-3216051.09352904,22270309.0302201,-14059069.9622611,NaN,NaN,NaN,NaN,NaN,NaN,-822224.576452464,20032655.826624,17518535.0108869,-9192435.1318767,14719471.9752488,20006293.0341588,6130856.16462812,25440431.0787243,-4536530.9721672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24781317.2211112,118371.223210188,9915171.02956966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006278.6368206,19941253.2040547,2797127.33352973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14756540.1517713,2519909.35721608,21785305.4829994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13075605.5870166,21958348.47237,-6783068.23875151,NaN,NaN,NaN,NaN,NaN,NaN,-3216806.31370353,22268671.9696183,-14061494.0844645,NaN,NaN,NaN,NaN,NaN,NaN,-823802.273104868,20034171.0444412,17516641.7489527,-9193446.75779496,14717128.1503085,20007581.5504444,6130373.15702774,25440003.8875803,-4539620.15814874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24782499.348974,117850.489692697,9912338.4104032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006381.8545806,19940837.4675516,2800301.08427764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14757475.9443383,2517268.79773431,21785015.2324176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13076317.513253,21958833.6581497,-6779974.21469697,NaN,NaN,NaN,NaN,NaN,NaN,-3217561.7211123,22267034.6623744,-14063917.9065393,NaN,NaN,NaN,NaN,NaN,NaN,-825379.735767097,20035686.175805,17514748.1170503,-9194458.57720362,14714784.2354461,20008869.637417,6129889.98925808,25439576.3608505,-4542709.24751783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24783681.1650709,117329.926717228,9909505.58342075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006484.853225,19940421.4179395,2803474.77404941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14758411.882056,2514628.33380803,21784724.5116858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13077029.1563438,21959318.5909837,-6776880.04441568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-826956.964436345,20037201.2206543,17512854.1152174,-9195470.59010155,14712440.2307276,20010157.2950501,6129406.66127228,25439148.498567,-4545798.24020881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24784862.6693612,116809.534243376,9906672.54868274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006587.632705,19940005.0552799,2806648.40277654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14759347.9648925,2511987.96552488,21784433.3208119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13077740.516285,21959803.2708375,-6773785.72797374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-828533.959090827,20038716.1789287,17510959.7434916,-9196482.79648899,14710096.1362179,20011444.5233171,6128923.17300212,25438720.3007668,-4548887.13615604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24786043.8618039,116289.312226863,9903839.30624952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006690.1931199,19939588.3795081,2809821.97039056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14760284.1928264,2509347.6929098,21784141.6598038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13078451.5930706,21960287.6976777,-6770691.26543724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9197495.19634829,14707751.9519932,20012731.3221916,6128439.52445338,25438291.7674693,-4551975.93529385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24787224.7423582,115769.260634697,9901005.85618151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006792.5345301,19939171.3905928,2812995.47682297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14761220.5658262,2506707.51604789,21783849.5286696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13079162.3867767,21960771.8714222,-6767596.65687226,NaN,NaN,NaN,NaN,NaN,NaN,-3220585.22348695,22260482.9680626,-14073610.1925198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9198507.78969982,14705407.6781058,20014017.6916469,6127955.7155456,25437862.8987147,-4555064.63755657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24788405.3109834,115249.37942143,9898172.19853913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006894.6569727,19938754.0885222,2816168.92200529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14762157.0838632,2504067.43500624,21783556.9274172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13079872.8973993,21961255.7920365,-6764501.90234492,NaN,NaN,NaN,NaN,NaN,NaN,-3221341.56738525,22258844.428419,-14076032.5131772,NaN,NaN,NaN,NaN,NaN,NaN,-833263.53885769,20043260.5336936,17505274.4093327,-9199520.57652988,14703063.3146295,20015303.6316565,6127471.74627726,25437433.6945242,-4558153.24287857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24789585.5676386,114729.668541775,9895338.33338278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17006996.5604743,19938336.4732937,2819342.30586905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14763093.7469111,2501427.44983922,21783263.8560547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13080583.1249464,21961739.4594789,-6761407.00192132,NaN,NaN,NaN,NaN,NaN,NaN,-3222098.09867623,22257205.6424532,-14078454.5333962,NaN,NaN,NaN,NaN,NaN,NaN,-834839.597327628,20044775.1450604,17503378.5584115,-9200533.5568242,14700718.8616383,20016589.142194,6126987.61668586,25437004.1549094,-4561241.75119417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24790765.5122829,114210.128006046,9892504.26077285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007098.2451115,19937918.5448622,2822515.62834578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14764030.55494,2498787.56062262,21782970.31459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
