SVpos_x_1,SVpos_y_1,SVpos_z_1,SVpos_x_2,SVpos_y_2,SVpos_z_2,SVpos_x_3,SVpos_y_3,SVpos_z_3,SVpos_x_4,SVpos_y_4,SVpos_z_4,SVpos_x_5,SVpos_y_5,SVpos_z_5,SVpos_x_6,SVpos_y_6,SVpos_z_6,SVpos_x_7,SVpos_y_7,SVpos_z_7,SVpos_x_8,SVpos_y_8,SVpos_z_8,SVpos_x_9,SVpos_y_9,SVpos_z_9,SVpos_x_10,SVpos_y_10,SVpos_z_10,SVpos_x_11,SVpos_y_11,SVpos_z_11,SVpos_x_12,SVpos_y_12,SVpos_z_12,SVpos_x_13,SVpos_y_13,SVpos_z_13,SVpos_x_14,SVpos_y_14,SVpos_z_14,SVpos_x_15,SVpos_y_15,SVpos_z_15,SVpos_x_16,SVpos_y_16,SVpos_z_16,SVpos_x_17,SVpos_y_17,SVpos_z_17,SVpos_x_18,SVpos_y_18,SVpos_z_18,SVpos_x_19,SVpos_y_19,SVpos_z_19,SVpos_x_20,SVpos_y_20,SVpos_z_20,SVpos_x_21,SVpos_y_21,SVpos_z_21,SVpos_x_22,SVpos_y_22,SVpos_z_22,SVpos_x_23,SVpos_y_23,SVpos_z_23,SVpos_x_24,SVpos_y_24,SVpos_z_24,SVpos_x_25,SVpos_y_25,SVpos_z_25,SVpos_x_26,SVpos_y_26,SVpos_z_26,SVpos_x_27,SVpos_y_27,SVpos_z_27,SVpos_x_28,SVpos_y_28,SVpos_z_28,SVpos_x_29,SVpos_y_29,SVpos_z_29,SVpos_x_30,SVpos_y_30,SVpos_z_30,SVpos_x_31,SVpos_y_31,SVpos_z_31,SVpos_x_32,SVpos_y_32,SVpos_z_32
-712.633514393348,485.816378033335,3093.65820121143,NaN,NaN,NaN,NaN,NaN,NaN,-754.936484601238,-1636.69457986689,-2424.57230147299,NaN,NaN,NaN,NaN,NaN,NaN,-1578.05981147518,1515.33442096719,-1892.70691302568,-1011.32994106662,-2343.69463739106,1289.16020634694,-482.769699023068,-426.68911031363,-3089.3307798002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1182.59073931282,-521.005220624953,-2832.30733194842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-103.543907212464,-415.267030883956,3173.84208653242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-935.563258744079,-2640.70961059854,-289.545342124392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-712.350277707624,485.563579422755,3093.80459316316,NaN,NaN,NaN,NaN,NaN,NaN,-755.123676796627,-1636.94130280719,-2424.27225039517,NaN,NaN,NaN,NaN,NaN,NaN,-1577.8258395688,1515.24806093412,-1893.07693759736,-1011.52343762472,-2343.78466238148,1288.73093322888,-482.929807390183,-427.024742187873,-3089.23426585985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1182.27903661823,-520.834624139912,-2832.51523850669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-103.324668704129,-415.580065494486,3173.78121312609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-935.70845030505,-2640.61414988587,-290.015504096141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-712.067065081547,485.310729533776,3093.95091903521,NaN,NaN,NaN,NaN,NaN,NaN,-755.310892891361,-1637.18797208168,-2423.97214765913,NaN,NaN,NaN,NaN,NaN,NaN,-1577.59185522179,1515.16164011255,-1893.44692456882,-1011.71693148368,-2343.87462053579,1288.30163354109,-483.089956888649,-427.360343445661,-3089.13768625325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1181.96729305097,-520.664064956901,-2832.72308467798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-103.105477909769,-415.893120830975,3173.72027122656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-935.853613864738,-2640.51862486908,-290.485658125838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-711.783876527136,485.057828374051,3094.09717882381,NaN,NaN,NaN,NaN,NaN,NaN,-755.498132874624,-1637.43458768291,-2423.67199327133,NaN,NaN,NaN,NaN,NaN,NaN,-1577.35785844626,1515.07515850152,-1893.8168739318,-1011.91042263076,-2343.96451185311,1287.872307293,-483.250147511458,-427.695914075641,-3089.04104098256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1181.65550862142,-520.493543084656,-2832.93087045857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-102.886334836179,-416.206196881352,3173.65926083659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-935.998749411634,-2640.42303555418,-290.95580420325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-711.500712056409,484.804875951235,3094.24337252517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1577.12384925435,1514.98861610008,-1894.18678567806,-1012.10391105324,-2344.05433633261,1287.44295449404,-483.4103792516,-428.031454066469,-3088.94433004996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1181.34368333996,-520.323058531907,-2833.13859584473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-102.667239490161,-416.519293633543,3173.59818195892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-936.143856934234,-2640.32738194722,-291.425942318144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-711.217571681381,484.551872272985,3094.38950013551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1576.88982765819,1514.90201290727,-1894.55665979936,-1012.29739673838,-2344.14409397343,1287.01357515362,-483.570652102063,-428.366963406804,-3088.84755345761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1181.03181721698,-520.152611307386,-2833.34626083276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-102.448191878507,-416.83241107547,3173.53703459633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-936.28893642104,-2640.23166405424,-291.896072460287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-710.934455414069,484.298817346961,3094.53556165106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1012.49087967347,-2344.23378477473,1286.58416928116,-483.730966055836,-428.702442085299,-3088.75071120767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1180.71991026286,-519.982201419823,-2833.55386541896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-102.22919200801,-417.145549195056,3173.47581875154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-936.433987860544,-2640.13588188126,-292.366194619449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-710.651363266483,484.045711180825,3094.68155706804,NaN,NaN,NaN,NaN,NaN,NaN,-756.247331476675,-1638.42051320631,-2422.47085933162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1012.68435984577,-2344.32340873566,1286.1547368861,-483.891321105897,-429.037890090611,-3088.65380330232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1180.40796248798,-519.81182887794,-2833.7614095996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-102.010239885458,-417.458707980222,3173.41453442734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-936.579011241252,-2640.04003543434,-292.8363087854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-710.368295250638,483.792553782243,3094.82748638267,NaN,NaN,NaN,NaN,NaN,NaN,-756.434690740347,-1638.66686032957,-2422.17044678187,NaN,NaN,NaN,NaN,NaN,NaN,-1576.18768856549,1514.64183857123,-1895.66605633101,-1012.87783724256,-2344.41296585538,1285.72527797785,-484.051717245235,-429.373307411402,-3088.55682974374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1180.09597390273,-519.641493690463,-2833.96889337098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-101.791335517637,-417.771887418892,3173.35318162647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-936.724006551664,-2639.94412471951,-293.306414947908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-710.085251378543,483.539345158881,3094.97334959118,NaN,NaN,NaN,NaN,NaN,NaN,-756.622073827638,-1638.91315373492,-2421.86998261911,NaN,NaN,NaN,NaN,NaN,NaN,-1575.95361747362,1514.55499220354,-1896.03577987,-1013.0713118511,-2344.50245613305,1285.29579256584,-484.212154466822,-429.708694036335,-3088.45979053409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1179.78394451751,-519.471195866113,-2834.17631672939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-101.572478911331,-418.085087498984,3173.29176035169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-936.86897378028,-2639.84814974283,-293.776513096742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
