Epoch, Position X(m), Position Y(m), Position Z(m), Clk Bias(s)-GPS
0, -3119977.8452438898, 4086875.4869251847, 3761600.0704290359, 0.0000000016
1, -3119978.0820581322, 4086875.8504187525, 3761599.4531097081, 0.0000000015
2, -3119978.3533216380, 4086876.2194211036, 3761598.8465987206, 0.0000000014
3, -3119978.6583087067, 4086876.6228157827, 3761598.1717735184, 0.0000000014
4, -3119978.9620367140, 4086877.0140002663, 3761597.5000199480, 0.0000000013
5, -3119979.2648375737, 4086877.4105099528, 3761596.8269954538, 0.0000000011
6, -3119979.5738449101, 4086877.7877400075, 3761596.1207282403, 0.0000000010
7, -3119979.9108012668, 4086878.2044950123, 3761595.4146132767, 0.0000000013
8, -3119980.2263859636, 4086878.6187201608, 3761594.7093573376, 0.0000000015
9, -3119980.4917908940, 4086879.0264939354, 3761594.0249727550, 0.0000000014
10, -3119980.7994721835, 4086879.4216757552, 3761593.3010573834, 0.0000000015
11, -3119981.1311270841, 4086879.8738854746, 3761592.5495196893, 0.0000000018
12, -3119981.4354079352, 4086880.2557748212, 3761591.8337282045, 0.0000000020
13, -3119981.7523777136, 4086880.4824764007, 3761591.2896313909, 0.0000000023
14, -3119982.2497163033, 4086880.4747674400, 3761590.9385908968, 0.0000000027
15, -3119982.7905843458, 4086880.1891401545, 3761590.7689016280, 0.0000000031
16, -3119983.4627055097, 4086879.6851402204, 3761590.7525903489, 0.0000000033
17, -3119984.0830630688, 4086879.1709491881, 3761590.7770651830, 0.0000000036
18, -3119984.7105675223, 4086878.6259248718, 3761590.8334226152, 0.0000000035
19, -3119985.3529232773, 4086878.1158213294, 3761590.8567161062, 0.0000000029
20, -3119985.9890538845, 4086877.6019836613, 3761590.8771662852, 0.0000000023
21, -3119986.5233907672, 4086877.1536796959, 3761590.8740961934, 0.0000000015
22, -3119986.9351558606, 4086876.8230363633, 3761590.8555488046, 0.0000000006
23, -3119987.4728760286, 4086876.4241391504, 3761590.8770253072, -0.0000000001
24, -3119988.1978181018, 4086875.8892758642, 3761590.8293143236, -0.0000000007
25, -3119988.9106259341, 4086875.3770633154, 3761590.8080318826, -0.0000000010
26, -3119989.5166103281, 4086874.9229300544, 3761590.8258640096, -0.0000000011
27, -3119990.0065840399, 4086874.3912632852, 3761590.9724666732, -0.0000000015
28, -3119990.3192462311, 4086873.8999789697, 3761591.2607194330, -0.0000000017
29, -3119990.4259233694, 4086873.3972842065, 3761591.7217152514, -0.0000000021
30, -3119990.3595035472, 4086872.9429650344, 3761592.2709642565, -0.0000000023
31, -3119990.1673956416, 4086872.4862927017, 3761592.8772627008, -0.0000000025
32, -3119989.8388926033, 4086872.1498447349, 3761593.4755736277, -0.0000000027
33, -3119989.4600364016, 4086871.7750447448, 3761594.1655718326, -0.0000000028
34, -3119989.0931676659, 4086871.4291654811, 3761594.8105602781, -0.0000000030
35, -3119988.6491659116, 4086871.1764088701, 3761595.4408188430, -0.0000000032
36, -3119988.2629750194, 4086870.8839899702, 3761596.0973286629, -0.0000000032
37, -3119987.8746144222, 4086870.5752549660, 3761596.7315527480, -0.0000000034
38, -3119987.4974671388, 4086870.2609287845, 3761597.3501196797, -0.0000000033
39, -3119987.1575506083, 4086869.9284852934, 3761597.9951557992, -0.0000000035
40, -3119986.8833608069, 4086869.5398236066, 3761598.6209503240, -0.0000000038
