Epoch, Latitude, Longitude, Altitude
0, 36.3724260655, 127.3586198964, 92.2309432812
1, 36.3724192742, 127.3586195361, 92.2131928829
2, 36.3724124263, 127.3586194436, 92.2222092506
3, 36.3724048272, 127.3586194173, 92.2292011296
4, 36.3723973063, 127.3586194624, 92.2295850161
5, 36.3723897566, 127.3586194633, 92.2321704514
6, 36.3723820274, 127.3586196495, 92.2057354748
7, 36.3723740408, 127.3586198160, 92.2183423173
8, 36.3723661405, 127.3586198103, 92.2193977386
9, 36.3723585818, 127.3586194038, 92.2041846840
10, 36.3723506527, 127.3586194569, 92.1781255202
11, 36.3723422031, 127.3586193367, 92.1838965975
12, 36.3723344004, 127.3586194496, 92.1524868077
13, 36.3723284615, 127.3586207242, 92.1297766808
14, 36.3723243343, 127.3586251814, 92.1596575659
15, 36.3723225624, 127.3586319035, 92.1404853379
16, 36.3723224053, 127.3586412646, 92.1366407787
17, 36.3723227554, 127.3586502363, 92.1251704795
18, 36.3723234446, 127.3586594796, 92.1163661946
19, 36.3723236974, 127.3586686185, 92.1175595233
20, 36.3723239656, 127.3586777274, 92.1116354316
21, 36.3723241148, 127.3586854916, 92.0839697924
22, 36.3723240495, 127.3586913745, 92.0625416329
23, 36.3723241560, 127.3586988345, 92.0827063136
24, 36.3723237309, 127.3587088723, 92.0662966082
25, 36.3723234408, 127.3587186493, 92.0741277840
26, 36.3723235341, 127.3587270875, 92.0901334295
27, 36.3723252674, 127.3587350225, 92.0762013579
28, 36.3723284319, 127.3587411138, 92.0854848828
29, 36.3723335663, 127.3587454578, 92.0892661549
30, 36.3723396969, 127.3587479416, 92.0917718196
31, 36.3723466591, 127.3587493280, 92.0651941178
32, 36.3723534949, 127.3587486933, 92.0441823248
33, 36.3723613222, 127.3587478720, 92.0283968719
34, 36.3723686611, 127.3587469613, 92.0102855079
35, 36.3723757478, 127.3587447377, 92.0053512240
36, 36.3723830060, 127.3587432944, 92.0188466180
37, 36.3723901787, 127.3587419422, 92.0076236157
38, 36.3723972253, 127.3587407271, 91.9890158605
39, 36.3724044201, 127.3587399642, 91.9927006243
40, 36.3724115010, 127.3587401637, 91.9811082184
