Epoch, Position X, Position Y, Position Z, Clock Bias
0, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59882e-12
1, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59886e-12
2, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59889e-12
3, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59893e-12
4, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59896e-12
5, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59899e-12
6, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59902e-12
7, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59906e-12
8, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59909e-12
9, -3.11999e+06, 4.08687e+06, 3.76159e+06, 2.59912e-12
