Epoch, Latitude, Longitude, Altitude
0, 36.3723276930, 127.3587643939, 91.9119383767
1, 36.3723327606, 127.3587621227, 91.8538047643
2, 36.3723376194, 127.3587610537, 91.7772031482
3, 36.3723427253, 127.3587611043, 91.7196530160
4, 36.3723484093, 127.3587613839, 91.6699746614
5, 36.3723544633, 127.3587610701, 91.6296150256
6, 36.3723604155, 127.3587605724, 91.6529372176
7, 36.3723664046, 127.3587602643, 91.7283468647
8, 36.3723727075, 127.3587603247, 91.7783703376
9, 36.3723789306, 127.3587599177, 91.8358478816
10, 36.3723850446, 127.3587593448, 91.9435368869
11, 36.3723910290, 127.3587595185, 92.0956183989
12, 36.3723971596, 127.3587592214, 92.2342405897
13, 36.3724029954, 127.3587593220, 92.3569180360
14, 36.3724083990, 127.3587590859, 92.4434084091
15, 36.3724133254, 127.3587563819, 92.5086181536
16, 36.3724166126, 127.3587524571, 92.5411474090
17, 36.3724187798, 127.3587469314, 92.4894175995
18, 36.3724198363, 127.3587397353, 92.4447297771
19, 36.3724196844, 127.3587319558, 92.4163373010
20, 36.3724189131, 127.3587235885, 92.3652577214
21, 36.3724186209, 127.3587149135, 92.3088579094
22, 36.3724189139, 127.3587057904, 92.2431535861
23, 36.3724184131, 127.3586965044, 92.1649726434
24, 36.3724180267, 127.3586879947, 92.0698127206
25, 36.3724179122, 127.3586800928, 91.9340835661
26, 36.3724177993, 127.3586718158, 91.8121704021
27, 36.3724179323, 127.3586631475, 91.7328925878
28, 36.3724180581, 127.3586549459, 91.7421256257
29, 36.3724175821, 127.3586466663, 91.7860954460
30, 36.3724173249, 127.3586382417, 91.7918603960
31, 36.3724181145, 127.3586296689, 91.8427799791
32, 36.3724177034, 127.3586214309, 91.9668257888
33, 36.3724153537, 127.3586151788, 92.1032192241
34, 36.3724119849, 127.3586111508, 92.2000702890
35, 36.3724082830, 127.3586099806, 92.2245260961
36, 36.3724038627, 127.3586098779, 92.1425456349
37, 36.3723983371, 127.3586107607, 92.0333663113
38, 36.3723924840, 127.3586125774, 91.9603805412
39, 36.3723863317, 127.3586129940, 91.8681564452
40, 36.3723803726, 127.3586134661, 91.7662148131
41, 36.3723737161, 127.3586146041, 91.7486367542
42, 36.3723667856, 127.3586151898, 91.7711169049
43, 36.3723601353, 127.3586151873, 91.8258824507
44, 36.3723532454, 127.3586143434, 91.8342386447
45, 36.3723458739, 127.3586143507, 91.8599840123
46, 36.3723383143, 127.3586159359, 91.9620931419
47, 36.3723315588, 127.3586169954, 92.0130056022
48, 36.3723255720, 127.3586182616, 92.1000826228
49, 36.3723211239, 127.3586213912, 92.2546985503
50, 36.3723200091, 127.3586268851, 92.3437609635
51, 36.3723212530, 127.3586339287, 92.3442794150
52, 36.3723222262, 127.3586421646, 92.3201166680
53, 36.3723238942, 127.3586512619, 92.2846806953
54, 36.3723254898, 127.3586604982, 92.2087401077
55, 36.3723263744, 127.3586688245, 92.1052412400
56, 36.3723274980, 127.3586772603, 92.0352291083
57, 36.3723287829, 127.3586856942, 91.9588204660
58, 36.3723290366, 127.3586925624, 91.9142685598
59, 36.3723278715, 127.3586970055, 91.9508005157
60, 36.3723272205, 127.3587016420, 92.0044954857
61, 36.3723280947, 127.3587094061, 92.0419907086
62, 36.3723291155, 127.3587188141, 92.0727943368
63, 36.3723293908, 127.3587275174, 92.1343332920
64, 36.3723289741, 127.3587363170, 92.2260346748
65, 36.3723300633, 127.3587442237, 92.2530443426
66, 36.3723329168, 127.3587499833, 92.2576147215
67, 36.3723370962, 127.3587542554, 92.3713621153
68, 36.3723432317, 127.3587566746, 92.5470096301
69, 36.3723500167, 127.3587577641, 92.6785200918
70, 36.3723572824, 127.3587581838, 92.7501913961
71, 36.3723642523, 127.3587586641, 92.7853624858
72, 36.3723709096, 127.3587588658, 92.7970712287
73, 36.3723779002, 127.3587590277, 92.7659288244
74, 36.3723847259, 127.3587592093, 92.7118604397
75, 36.3723917511, 127.3587590913, 92.6664224435
76, 36.3723985541, 127.3587593973, 92.6277680825
77, 36.3724052590, 127.3587591656, 92.5955554061
78, 36.3724118761, 127.3587583530, 92.6142167943
79, 36.3724187012, 127.3587579843, 92.6617191695
80, 36.3724258596, 127.3587565938, 92.6609384334
81, 36.3724326359, 127.3587544423, 92.6198568959
82, 36.3724389604, 127.3587517854, 92.6086628074
83, 36.3724432737, 127.3587466547, 92.6102541350
84, 36.3724452884, 127.3587389542, 92.6383881671
85, 36.3724456108, 127.3587299064, 92.6779904924
86, 36.3724447925, 127.3587203876, 92.6404981865
87, 36.3724432390, 127.3587110064, 92.5942736221
88, 36.3724410834, 127.3587020377, 92.5939951111
89, 36.3724413804, 127.3586921756, 92.5918929633
90, 36.3724423322, 127.3586823565, 92.6389641054
91, 36.3724419246, 127.3586736814, 92.6749532782
92, 36.3724412655, 127.3586650956, 92.6766709853
93, 36.3724402173, 127.3586555161, 92.6754120393
94, 36.3724392584, 127.3586458045, 92.6045079371
95, 36.3724377397, 127.3586379508, 92.5130299870
96, 36.3724361284, 127.3586306695, 92.5263421489
97, 36.3724339432, 127.3586241180, 92.5267789820
98, 36.3724295058, 127.3586196791, 92.5299980165
99, 36.3724229239, 127.3586180163, 92.6626763195
